crm_id,cust_id,lifecycle_stage,customer_manager,vip_tier,churn_risk_score,last_contact_date,contact_preference
CRM288497,C000036,成长期,孙磊,白金,0,2026-05-19,APP Push
CRM348169,C000037,沉睡期,周涛,白金,71,2026-04-03,APP Push
CRM794869,C000038,成熟期,郑刚,白金,2,2026-07-02,APP Push
CRM563651,C000039,成熟期,孙磊,白金,0,2026-06-09,短信
CRM321345,C000040,成熟期,吴芳,金卡,29,2026-06-27,短信
CRM196726,C000041,成熟期,罗玲,金卡,4,2026-07-09,APP Push
CRM562774,C000042,成熟期,张伟,白金,0,2026-07-13,APP Push
CRM559028,C000043,成熟期,周涛,金卡,9,2026-05-30,短信
CRM388168,C000044,沉睡期,李娟,白金,67,2025-09-24,APP Push
CRM790066,C000045,成熟期,黄海波,金卡,27,2026-07-13,短信
CRM271485,C000046,成熟期,罗玲,白金,20,2026-01-25,短信
CRM984356,C000047,成熟期,孙磊,金卡,37,2025-09-29,APP Push
CRM031521,C000048,成熟期,李娟,金卡,0,2026-06-25,邮件
CRM016310,C000049,成熟期,林雪梅,金卡,6,2026-06-25,电话
CRM254495,C000050,成熟期,周涛,普通,4,2026-06-01,APP Push
CRM504820,C000051,沉睡期,钱丽华,金卡,59,2025-07-26,短信
CRM538048,C000052,成熟期,林雪梅,白金,3,2026-05-31,APP Push
CRM126914,C000053,沉睡期,李娟,普通,58,2025-11-09,APP Push
CRM011254,C000054,成长期,黄海波,白金,0,2026-06-04,APP Push
CRM249756,C000055,成熟期,林雪梅,金卡,0,2026-06-09,邮件
CRM216301,C000056,成熟期,马晓雯,普通,7,2026-05-28,APP Push
CRM421538,C000057,成熟期,吴芳,金卡,17,2026-03-23,邮件
CRM301581,C000058,成熟期,王建国,普通,4,2026-06-09,邮件
CRM279750,C000059,新户,李娟,普通,10,2026-05-18,APP Push
CRM833025,C000060,成熟期,林雪梅,白金,3,2026-06-18,电话
CRM045088,C000061,成长期,张伟,金卡,10,2026-05-24,短信
CRM443158,C000062,成熟期,陈晓燕,钻石,0,2026-06-03,短信
CRM719652,C000063,成熟期,林雪梅,普通,0,2026-06-26,短信
CRM089744,C000064,成熟期,吴芳,白金,0,2026-05-29,APP Push
CRM298336,C000065,成熟期,吴芳,白金,0,2026-05-29,短信
CRM374991,C000066,成熟期,周涛,普通,2,2026-05-28,APP Push
CRM230142,C000067,成熟期,罗玲,金卡,0,2026-06-18,电话
CRM952209,C000068,新户,钱丽华,白金,7,2026-07-14,短信
CRM436016,C000069,新户,黄海波,金卡,33,2026-06-17,APP Push
CRM473600,C000070,成熟期,罗玲,金卡,28,2025-09-23,短信
CRM847252,C000071,成长期,罗玲,金卡,28,2026-01-25,电话
CRM518913,C000072,成熟期,李娟,白金,31,2026-03-11,短信
CRM846118,C000073,成熟期,王建国,普通,23,2025-09-30,电话
CRM410967,C000074,成熟期,赵敏,普通,0,2026-05-21,邮件
CRM177439,C000075,成熟期,钱丽华,金卡,0,2026-07-09,APP Push
CRM115735,C000076,沉睡期,马晓雯,普通,64,2025-12-21,APP Push
CRM885871,C000077,新户,刘志强,普通,3,2026-06-14,短信
CRM070662,C000078,成熟期,罗玲,普通,9,2026-06-04,APP Push
CRM908809,C000079,成熟期,周涛,普通,26,2026-06-03,APP Push
CRM794660,C000080,成长期,刘志强,金卡,3,2026-06-01,短信
CRM488465,C000081,成熟期,张伟,白金,3,2026-07-09,短信
CRM247693,C000082,成长期,赵敏,金卡,0,2026-06-27,APP Push
CRM002237,C000083,成熟期,李娟,普通,3,2026-06-23,APP Push
CRM662759,C000084,成熟期,马晓雯,普通,7,2026-07-06,短信
CRM069874,C000085,沉睡期,孙磊,金卡,85,2025-11-15,邮件
CRM643095,C000086,沉睡期,王建国,普通,72,2025-09-10,短信
CRM083277,C000087,成长期,吴芳,普通,4,2026-05-23,短信
CRM234811,C000088,沉睡期,孙磊,金卡,67,2026-01-17,邮件
CRM339230,C000089,成熟期,赵敏,白金,55,2025-10-31,短信
CRM358261,C000090,成熟期,王建国,金卡,0,2026-07-08,短信
CRM429789,C000091,沉睡期,刘志强,普通,55,2025-08-03,APP Push
CRM316410,C000092,沉睡期,张伟,普通,72,2025-08-19,APP Push
CRM486715,C000093,成长期,张伟,普通,9,2026-06-29,短信
CRM369257,C000094,成熟期,黄海波,金卡,5,2026-06-08,邮件
CRM288018,C000095,新户,何志明,白金,0,2026-06-05,电话
CRM812569,C000096,成长期,孙磊,金卡,26,2026-01-12,APP Push
CRM932070,C000097,成熟期,林雪梅,普通,5,2026-06-15,APP Push
CRM713469,C000098,成熟期,张伟,金卡,16,2026-07-11,APP Push
CRM846640,C000099,成熟期,李娟,金卡,30,2026-06-01,APP Push
CRM060094,C000100,成熟期,孙磊,金卡,0,2026-06-27,APP Push
CRM765546,C000101,成熟期,张伟,普通,0,2026-06-13,邮件
CRM175357,C000102,沉睡期,张伟,金卡,73,2025-09-20,APP Push
CRM580181,C000103,成熟期,黄海波,普通,4,2026-07-12,邮件
CRM223507,C000104,成熟期,陈晓燕,白金,7,2026-06-22,邮件
CRM947222,C000105,成熟期,吴芳,金卡,0,2026-06-12,APP Push
CRM838834,C000106,成熟期,张伟,普通,0,2026-06-15,邮件
CRM773897,C000107,成熟期,郑刚,金卡,0,2026-05-18,电话
CRM495106,C000108,成熟期,钱丽华,钻石,16,2025-08-16,短信
CRM130870,C000109,成熟期,陈晓燕,金卡,0,2026-06-06,短信
CRM184539,C000110,新户,李娟,金卡,4,2026-05-30,APP Push
CRM919256,C000111,成熟期,郑刚,普通,0,2026-06-03,APP Push
CRM088592,C000112,成熟期,张伟,金卡,0,2026-05-25,短信
CRM141648,C000113,新户,郑刚,金卡,7,2026-06-06,APP Push
CRM093110,C000114,成熟期,何志明,金卡,0,2026-05-23,APP Push
CRM132598,C000115,成熟期,钱丽华,白金,0,2026-06-14,APP Push
CRM368716,C000116,沉睡期,郑刚,普通,60,2025-09-25,APP Push
CRM213285,C000117,成熟期,孙磊,普通,5,2026-06-09,APP Push
CRM877245,C000118,成熟期,马晓雯,金卡,0,2026-06-12,APP Push
CRM668612,C000119,沉睡期,王建国,白金,69,2025-08-10,APP Push
CRM783338,C000120,沉睡期,钱丽华,普通,63,2025-09-22,APP Push
CRM850691,C000121,沉睡期,李娟,白金,63,2026-01-15,APP Push
CRM849508,C000122,成熟期,钱丽华,金卡,0,2026-06-04,短信
CRM489366,C000123,成熟期,刘志强,金卡,10,2026-06-17,电话
CRM043135,C000124,成熟期,马晓雯,金卡,8,2026-05-28,短信
CRM097168,C000125,成熟期,郑刚,白金,10,2026-05-23,APP Push
CRM889026,C000126,成熟期,何志明,普通,6,2026-06-21,邮件
CRM091393,C000127,沉睡期,周涛,普通,67,2025-10-18,邮件
CRM276517,C000128,沉睡期,郑刚,白金,64,2025-12-03,短信
CRM246494,C000129,沉睡期,王建国,白金,58,2026-01-31,APP Push
CRM610837,C000130,成熟期,何志明,普通,0,2026-05-18,短信
CRM454677,C000131,成熟期,赵敏,金卡,0,2026-06-04,邮件
CRM334961,C000132,成熟期,何志明,金卡,5,2026-06-07,APP Push
CRM248264,C000133,成熟期,郑刚,普通,8,2026-05-26,短信
CRM762937,C000134,新户,马晓雯,金卡,3,2026-06-11,短信
CRM123134,C000135,成熟期,刘志强,普通,4,2026-05-28,APP Push
CRM624415,C000136,成熟期,黄海波,金卡,1,2026-06-21,邮件
CRM922324,C000137,成长期,马晓雯,白金,15,2026-04-15,APP Push
CRM569394,C000138,沉睡期,何志明,金卡,75,2026-03-04,短信
CRM490907,C000139,成熟期,李娟,普通,8,2026-06-03,APP Push
CRM932460,C000140,成长期,马晓雯,白金,0,2026-06-25,短信
CRM411055,C000141,成熟期,赵敏,金卡,0,2026-07-13,短信
CRM446858,C000142,成熟期,马晓雯,钻石,7,2026-07-02,APP Push
CRM458906,C000143,成熟期,罗玲,普通,9,2026-06-09,短信
CRM557235,C000144,成熟期,钱丽华,金卡,8,2026-05-16,邮件
CRM931880,C000145,新户,刘志强,金卡,1,2026-07-07,APP Push
CRM934147,C000146,成熟期,周涛,普通,0,2026-05-28,APP Push
CRM614350,C000147,成熟期,黄海波,金卡,0,2026-05-22,短信
CRM345573,C000148,成长期,陈晓燕,钻石,0,2026-05-20,APP Push
CRM295828,C000149,沉睡期,黄海波,普通,73,2026-01-03,短信
CRM304667,C000150,成熟期,林雪梅,普通,4,2026-06-10,电话
CRM230140,C000151,沉睡期,孙磊,金卡,68,2025-09-12,短信
CRM437508,C000152,沉睡期,王建国,普通,75,2025-11-29,邮件
CRM619851,C000153,成熟期,黄海波,普通,35,2026-01-11,短信
CRM087394,C000154,成熟期,李娟,金卡,1,2026-06-29,APP Push
CRM699758,C000155,新户,王建国,普通,15,2026-05-26,电话
CRM487399,C000156,成长期,李娟,普通,18,2026-04-10,APP Push
CRM598197,C000157,成熟期,陈晓燕,白金,21,2025-08-13,APP Push
CRM951003,C000158,成长期,林雪梅,白金,21,2025-12-17,电话
CRM875458,C000159,成长期,林雪梅,金卡,0,2026-06-08,电话
CRM895395,C000160,成熟期,钱丽华,普通,6,2026-06-22,邮件
CRM045704,C000161,成熟期,吴芳,金卡,0,2026-05-31,短信
CRM990218,C000162,新户,罗玲,普通,11,2026-06-06,APP Push
CRM900469,C000163,成熟期,何志明,金卡,33,2026-02-06,短信
CRM435235,C000164,成熟期,王建国,普通,10,2026-06-17,电话
CRM178898,C000165,成长期,钱丽华,普通,3,2026-05-26,APP Push
CRM649211,C000166,沉睡期,郑刚,金卡,61,2026-04-05,邮件
CRM119501,C000167,成熟期,何志明,普通,4,2026-07-10,短信
CRM281214,C000168,成熟期,吴芳,金卡,0,2026-05-26,邮件
CRM410653,C000169,成熟期,罗玲,金卡,4,2026-06-02,短信
CRM242929,C000170,沉睡期,李娟,金卡,72,2025-12-13,APP Push
CRM857121,C000171,沉睡期,陈晓燕,普通,63,2025-09-19,APP Push
CRM129148,C000172,成熟期,马晓雯,普通,10,2026-07-02,APP Push
CRM466950,C000173,成长期,赵敏,白金,20,2025-12-09,电话
CRM816570,C000174,成熟期,李娟,钻石,4,2026-05-19,APP Push
CRM504050,C000175,成长期,周涛,普通,22,2025-07-27,APP Push
CRM818316,C000176,成熟期,马晓雯,金卡,11,2026-05-24,短信
CRM303090,C000177,成熟期,赵敏,金卡,6,2026-06-13,APP Push
CRM765689,C000178,成熟期,林雪梅,白金,0,2026-05-18,短信
CRM202022,C000179,成熟期,吴芳,普通,0,2026-05-17,电话
CRM730300,C000180,成熟期,刘志强,普通,1,2026-06-14,APP Push
CRM164552,C000181,成熟期,林雪梅,普通,3,2026-06-07,APP Push
CRM766713,C000182,成熟期,罗玲,金卡,10,2026-06-07,APP Push
CRM760880,C000183,成熟期,黄海波,金卡,8,2026-06-08,APP Push
CRM174323,C000184,成熟期,林雪梅,白金,0,2026-07-01,APP Push
CRM048105,C000185,成长期,吴芳,普通,21,2026-01-11,短信
CRM409988,C000186,成熟期,林雪梅,金卡,0,2026-05-22,APP Push
CRM578393,C000187,成熟期,孙磊,白金,34,2025-11-13,短信
CRM769888,C000188,成熟期,周涛,金卡,8,2026-07-07,短信
CRM561580,C000189,成熟期,钱丽华,钻石,0,2026-05-27,APP Push
CRM038758,C000190,成熟期,郑刚,普通,0,2026-06-01,短信
CRM285703,C000191,成熟期,赵敏,金卡,8,2026-06-28,APP Push
CRM904586,C000192,成熟期,周涛,钻石,0,2026-06-30,短信
CRM501748,C000193,成熟期,孙磊,金卡,0,2026-06-28,电话
CRM671202,C000194,成熟期,黄海波,金卡,13,2026-05-16,短信
CRM112266,C000195,新户,张伟,金卡,9,2026-06-15,短信
CRM437463,C000196,成熟期,陈晓燕,金卡,7,2026-06-07,短信
CRM076348,C000197,成熟期,周涛,白金,10,2026-05-24,APP Push
CRM761512,C000198,成长期,郑刚,金卡,24,2025-07-16,短信
CRM868753,C000199,成熟期,郑刚,金卡,0,2026-05-21,APP Push
CRM307037,C000200,成长期,何志明,金卡,8,2026-05-31,短信
CRM661331,C000201,成长期,林雪梅,金卡,1,2026-05-27,APP Push
CRM563744,C000202,沉睡期,周涛,普通,85,2026-03-04,短信
CRM847964,C000203,成长期,钱丽华,金卡,1,2026-06-24,邮件
CRM402965,C000204,成熟期,刘志强,金卡,7,2026-05-31,短信
CRM677732,C000205,沉睡期,李娟,金卡,65,2025-08-01,APP Push
CRM935880,C000206,沉睡期,赵敏,金卡,74,2026-03-06,APP Push
CRM811052,C000207,沉睡期,林雪梅,钻石,58,2025-09-06,短信
CRM124583,C000208,成熟期,刘志强,金卡,0,2026-06-03,短信
CRM534174,C000209,成长期,李娟,金卡,31,2025-10-26,邮件
CRM146052,C000210,成熟期,钱丽华,普通,8,2026-07-01,APP Push
CRM112837,C000211,新户,罗玲,白金,15,2026-07-01,短信
CRM153930,C000212,成长期,刘志强,金卡,0,2026-06-29,APP Push
CRM931342,C000213,成熟期,李娟,金卡,4,2026-06-08,APP Push
CRM639537,C000214,成熟期,黄海波,金卡,0,2026-06-15,短信
CRM121069,C000215,成熟期,钱丽华,普通,30,2026-03-23,短信
CRM844508,C000216,成熟期,钱丽华,普通,1,2026-06-04,短信
CRM369426,C000217,成长期,刘志强,金卡,0,2026-07-05,电话
CRM803674,C000218,成熟期,何志明,金卡,1,2026-06-10,APP Push
CRM379035,C000219,沉睡期,郑刚,金卡,65,2025-07-20,短信
CRM265948,C000220,成熟期,黄海波,白金,0,2026-06-07,短信
CRM341672,C000221,成熟期,罗玲,金卡,0,2026-05-28,邮件
CRM967187,C000222,成熟期,罗玲,普通,0,2026-05-28,电话
CRM332624,C000223,成熟期,马晓雯,普通,2,2026-07-08,短信
CRM007155,C000224,成长期,刘志强,金卡,6,2026-06-13,邮件
CRM091823,C000225,成熟期,吴芳,金卡,2,2026-05-31,电话
CRM315102,C000226,成长期,吴芳,白金,7,2026-07-02,APP Push
CRM133154,C000227,成熟期,黄海波,金卡,0,2026-05-26,APP Push
CRM587883,C000228,成熟期,周涛,普通,0,2026-06-19,邮件
CRM192224,C000229,成熟期,吴芳,白金,0,2026-06-02,邮件
CRM155102,C000230,沉睡期,赵敏,普通,72,2026-03-01,APP Push
CRM219839,C000231,成熟期,陈晓燕,普通,8,2026-06-05,短信
CRM720881,C000232,成熟期,郑刚,金卡,5,2026-06-10,电话
CRM821364,C000233,沉睡期,林雪梅,普通,71,2025-10-19,APP Push
CRM576216,C000234,成长期,林雪梅,普通,19,2025-07-17,APP Push
CRM856109,C000235,成熟期,陈晓燕,金卡,7,2026-06-03,APP Push
CRM397463,C000236,成熟期,罗玲,钻石,0,2026-07-02,APP Push
CRM920175,C000237,成熟期,赵敏,金卡,6,2026-07-08,短信
CRM310322,C000238,成熟期,赵敏,金卡,9,2026-07-13,APP Push
CRM126434,C000239,成熟期,刘志强,金卡,7,2026-06-14,邮件
CRM993614,C000240,沉睡期,马晓雯,普通,67,2025-08-05,APP Push
CRM400618,C000241,成熟期,陈晓燕,普通,0,2026-07-10,短信
CRM476344,C000242,成长期,罗玲,白金,24,2026-04-10,APP Push
CRM873296,C000243,成熟期,郑刚,金卡,9,2026-05-21,APP Push
CRM241125,C000244,成熟期,刘志强,普通,0,2026-06-07,短信
CRM797044,C000245,成长期,李娟,白金,31,2026-01-25,短信
CRM177865,C000246,成熟期,钱丽华,白金,2,2026-06-03,APP Push
CRM805728,C000247,成熟期,吴芳,普通,8,2026-05-25,APP Push
CRM284239,C000248,沉睡期,黄海波,金卡,56,2025-08-28,短信
CRM234392,C000249,沉睡期,罗玲,金卡,57,2025-07-31,APP Push
CRM837054,C000250,成熟期,周涛,普通,24,2026-01-16,邮件
CRM434242,C000251,成熟期,赵敏,金卡,30,2026-06-29,APP Push
CRM618711,C000252,成长期,周涛,金卡,0,2026-06-18,APP Push
CRM698929,C000253,成熟期,郑刚,金卡,0,2026-07-04,短信
CRM154442,C000254,成熟期,王建国,普通,0,2026-05-29,短信
CRM330718,C000255,成熟期,罗玲,普通,0,2026-06-04,电话
CRM482380,C000256,成熟期,刘志强,白金,23,2026-06-29,短信
CRM836610,C000257,成熟期,郑刚,金卡,2,2026-06-23,邮件
CRM967970,C000258,成熟期,何志明,金卡,0,2026-06-24,短信
CRM844543,C000259,成熟期,周涛,金卡,9,2026-06-27,短信
CRM895227,C000260,成熟期,郑刚,普通,2,2026-07-06,APP Push
CRM691455,C000261,成熟期,黄海波,普通,3,2026-07-05,电话
CRM908029,C000262,成熟期,赵敏,金卡,0,2026-06-07,邮件
CRM746207,C000263,成长期,李娟,普通,0,2026-07-10,APP Push
CRM335620,C000264,成熟期,王建国,钻石,0,2026-06-03,短信
CRM158775,C000265,成熟期,罗玲,白金,3,2026-05-16,邮件
CRM643519,C000266,成长期,钱丽华,白金,0,2026-06-04,短信
CRM748991,C000267,成长期,罗玲,普通,0,2026-06-08,APP Push
CRM806346,C000268,成长期,黄海波,白金,28,2025-12-19,短信
CRM636118,C000269,成长期,孙磊,普通,0,2026-05-19,短信
CRM376451,C000270,成熟期,陈晓燕,普通,7,2026-05-31,APP Push
CRM544971,C000271,新户,张伟,金卡,7,2026-06-24,短信
CRM968605,C000272,成熟期,刘志强,钻石,0,2026-07-06,短信
CRM135784,C000273,成熟期,黄海波,钻石,4,2026-06-21,邮件
CRM260429,C000274,成熟期,马晓雯,金卡,0,2026-07-13,APP Push
CRM917354,C000275,成熟期,刘志强,金卡,0,2026-07-05,电话
CRM549706,C000276,成熟期,李娟,白金,0,2026-05-18,APP Push
CRM464827,C000277,成熟期,陈晓燕,金卡,24,2025-12-14,APP Push
CRM541267,C000278,成熟期,何志明,金卡,15,2026-03-03,邮件
CRM631545,C000279,成熟期,李娟,普通,0,2026-06-23,APP Push
CRM415200,C000280,成熟期,郑刚,普通,7,2026-07-05,电话
CRM806897,C000281,成熟期,张伟,金卡,16,2026-01-05,电话
CRM876010,C000282,成熟期,钱丽华,金卡,9,2026-07-02,电话
CRM430448,C000283,成熟期,何志明,普通,0,2026-07-09,APP Push
CRM965281,C000284,成熟期,赵敏,普通,6,2026-06-10,APP Push
CRM268296,C000285,新户,罗玲,普通,2,2026-05-20,邮件
CRM133864,C000286,成熟期,马晓雯,普通,1,2026-06-14,APP Push
CRM448292,C000287,成长期,陈晓燕,白金,0,2026-05-26,APP Push
CRM130308,C000288,成熟期,李娟,金卡,0,2026-06-01,电话
CRM403038,C000289,成熟期,孙磊,白金,10,2026-05-26,短信
CRM294792,C000290,成熟期,王建国,金卡,0,2026-05-29,APP Push
CRM652224,C000291,成熟期,陈晓燕,金卡,5,2026-06-16,APP Push
CRM902522,C000292,成熟期,钱丽华,白金,0,2026-06-26,邮件
CRM573147,C000293,成熟期,罗玲,白金,0,2026-07-13,短信
CRM517252,C000294,成熟期,李娟,白金,6,2026-06-19,APP Push
CRM926560,C000295,成熟期,陈晓燕,金卡,6,2026-07-05,短信
CRM881324,C000296,成熟期,马晓雯,钻石,0,2026-06-06,APP Push
CRM246705,C000297,成长期,黄海波,普通,7,2026-05-31,APP Push
CRM415231,C000298,成长期,王建国,普通,9,2026-07-09,APP Push
CRM285675,C000299,成长期,张伟,钻石,10,2026-05-18,短信
CRM383355,C000300,成熟期,林雪梅,金卡,0,2026-06-17,短信
CRM886878,C000301,成熟期,黄海波,普通,24,2026-02-20,APP Push
CRM829033,C000302,成熟期,黄海波,白金,5,2026-06-21,邮件
CRM567805,C000303,成熟期,孙磊,金卡,8,2026-05-28,短信
CRM576247,C000304,成熟期,郑刚,普通,1,2026-05-20,APP Push
CRM452632,C000305,成长期,吴芳,金卡,4,2026-06-08,APP Push
CRM750684,C000306,成熟期,张伟,白金,2,2026-05-21,短信
CRM119503,C000307,成熟期,马晓雯,金卡,1,2026-06-29,电话
CRM272661,C000308,成熟期,李娟,金卡,9,2026-05-19,短信
CRM406779,C000309,成熟期,林雪梅,白金,0,2026-07-05,APP Push
CRM168660,C000310,成熟期,何志明,白金,0,2026-07-09,APP Push
CRM494200,C000311,成长期,孙磊,普通,0,2026-05-27,APP Push
CRM750870,C000312,成熟期,王建国,金卡,0,2026-05-30,短信
CRM521176,C000313,成长期,吴芳,白金,10,2026-06-06,APP Push
CRM823274,C000314,成熟期,李娟,金卡,0,2026-06-03,电话
CRM881342,C000315,成熟期,林雪梅,白金,0,2026-06-11,短信
CRM572452,C000316,成长期,赵敏,金卡,8,2026-06-05,短信
CRM842421,C000317,成熟期,周涛,金卡,10,2026-06-25,短信
CRM827291,C000318,成熟期,罗玲,金卡,0,2026-06-15,短信
CRM067289,C000319,成熟期,林雪梅,金卡,5,2026-06-10,短信
CRM121671,C000320,成熟期,刘志强,金卡,5,2026-06-15,APP Push
CRM730070,C000321,成熟期,张伟,普通,0,2026-06-29,邮件
CRM135497,C000322,成熟期,陈晓燕,钻石,0,2026-06-12,APP Push
CRM664023,C000323,成熟期,张伟,普通,5,2026-06-01,邮件
CRM068122,C000324,成长期,吴芳,普通,31,2025-12-22,APP Push
CRM649631,C000325,成熟期,李娟,普通,4,2026-05-25,邮件
CRM932011,C000326,成熟期,钱丽华,白金,7,2026-06-10,邮件
CRM173434,C000327,成长期,罗玲,白金,5,2026-06-11,邮件
CRM882595,C000328,成长期,罗玲,金卡,0,2026-06-12,APP Push
CRM522976,C000329,成熟期,周涛,钻石,0,2026-05-16,短信
CRM187463,C000330,成熟期,罗玲,金卡,4,2026-06-15,APP Push
CRM725162,C000331,成熟期,赵敏,金卡,28,2025-09-28,APP Push
CRM600114,C000332,成熟期,郑刚,金卡,8,2026-06-08,邮件
CRM805464,C000333,成熟期,王建国,普通,0,2026-06-04,APP Push
CRM479975,C000334,成熟期,张伟,普通,8,2026-06-26,短信
CRM218897,C000335,成熟期,陈晓燕,金卡,0,2026-05-27,APP Push
CRM741552,C000336,成熟期,马晓雯,白金,0,2026-07-13,邮件
CRM356982,C000337,成熟期,赵敏,金卡,0,2026-06-30,APP Push
CRM675435,C000338,成熟期,马晓雯,普通,6,2026-05-16,APP Push
CRM788657,C000339,成长期,郑刚,金卡,15,2026-01-06,电话
CRM619064,C000340,成熟期,林雪梅,白金,0,2026-07-02,短信
CRM077088,C000341,沉睡期,赵敏,白金,85,2026-02-16,APP Push
CRM223911,C000342,成熟期,钱丽华,普通,0,2026-05-28,APP Push
CRM543074,C000343,成熟期,何志明,金卡,0,2026-06-05,短信
CRM919610,C000344,成熟期,郑刚,普通,2,2026-06-02,邮件
CRM917586,C000345,成熟期,张伟,普通,2,2026-06-17,短信
CRM719620,C000346,沉睡期,黄海波,普通,59,2026-04-15,APP Push
CRM880144,C000347,成长期,孙磊,普通,30,2025-09-15,短信
CRM763348,C000348,成熟期,周涛,白金,3,2026-05-16,邮件
CRM006238,C000349,成熟期,郑刚,普通,6,2026-06-07,APP Push
CRM641557,C000350,成长期,王建国,普通,1,2026-06-01,邮件
CRM417581,C000351,成熟期,黄海波,金卡,1,2026-07-14,短信
CRM419448,C000352,成熟期,孙磊,金卡,7,2026-07-14,APP Push
CRM094999,C000353,成熟期,钱丽华,金卡,0,2026-06-28,电话
CRM241671,C000354,成熟期,孙磊,金卡,5,2026-06-07,短信
CRM068672,C000355,成熟期,何志明,白金,24,2025-08-06,邮件
CRM879785,C000356,成熟期,王建国,金卡,10,2026-06-01,电话
CRM158287,C000357,成熟期,王建国,普通,30,2025-12-02,APP Push
CRM052869,C000358,沉睡期,郑刚,金卡,57,2025-08-04,邮件
CRM542077,C000359,成熟期,刘志强,普通,0,2026-06-08,APP Push
CRM099607,C000360,成熟期,黄海波,白金,0,2026-06-11,APP Push
CRM084086,C000361,成熟期,陈晓燕,白金,0,2026-06-11,APP Push
CRM106114,C000362,成熟期,李娟,普通,0,2026-05-21,电话
CRM460382,C000363,沉睡期,陈晓燕,普通,64,2025-07-19,APP Push
CRM753124,C000364,成熟期,陈晓燕,金卡,0,2026-06-11,邮件
CRM351606,C000365,沉睡期,吴芳,普通,71,2025-10-31,电话
CRM067644,C000366,成熟期,郑刚,金卡,0,2026-07-12,短信
CRM530996,C000367,成熟期,张伟,金卡,0,2026-07-03,APP Push
CRM813979,C000368,成熟期,王建国,白金,1,2026-06-02,APP Push
CRM602229,C000369,沉睡期,孙磊,金卡,59,2025-08-15,邮件
CRM244588,C000370,新户,钱丽华,金卡,15,2026-06-30,邮件
CRM087024,C000371,沉睡期,陈晓燕,金卡,55,2025-08-13,APP Push
CRM059820,C000372,成熟期,林雪梅,普通,0,2026-06-06,短信
CRM262529,C000373,成熟期,李娟,普通,0,2026-06-28,电话
CRM104644,C000374,成熟期,周涛,普通,0,2026-06-28,APP Push
CRM361326,C000375,成长期,张伟,普通,32,2025-10-05,APP Push
CRM733962,C000376,成长期,钱丽华,金卡,17,2025-11-20,APP Push
CRM414777,C000377,成熟期,郑刚,金卡,1,2026-07-11,APP Push
CRM760426,C000378,成熟期,钱丽华,普通,34,2025-09-22,邮件
CRM974378,C000379,新户,王建国,普通,6,2026-06-12,邮件
CRM699033,C000380,成熟期,李娟,普通,0,2026-06-16,邮件
CRM225523,C000381,成长期,刘志强,金卡,4,2026-07-05,邮件
CRM904269,C000382,成熟期,林雪梅,白金,0,2026-06-06,邮件
