cust_id,oneid,event_type,event_detail,event_time
C000014,UID000014,browse,浏览权益商城,2026-06-28T12:00:00+08:00
C000014,UID000014,search,搜索'账单查询',2026-07-01T23:00:00+08:00
C000015,UID000015,search,搜索'提额',2026-07-02T11:00:00+08:00
C000015,UID000015,browse,浏览境外消费专区,2026-07-14T09:00:00+08:00
C000016,UID000016,transaction,消费 5501元,2026-06-18T20:00:00+08:00
C000017,UID000017,campaign_click,点击暑期出行活动推送,2026-07-16T16:00:00+08:00
C000017,UID000017,browse,浏览境外消费专区,2026-07-09T15:00:00+08:00
C000018,UID000018,transaction,消费 5433元,2026-07-02T10:00:00+08:00
C000018,UID000018,transaction,消费 6018元,2026-07-06T18:00:00+08:00
C000018,UID000018,transaction,消费 7565元,2026-07-15T05:00:00+08:00
C000018,UID000018,browse,浏览分期计算器,2026-06-26T06:00:00+08:00
C000018,UID000018,campaign_click,点击暑期出行活动推送,2026-07-08T08:00:00+08:00
C000019,UID000019,service,额度调整申请,2026-06-21T17:00:00+08:00
C000019,UID000019,campaign_click,点击ApplePay返现活动推送,2026-07-01T19:00:00+08:00
C000019,UID000019,transaction,消费 7229元,2026-06-27T05:00:00+08:00
C000019,UID000019,transaction,消费 5987元,2026-07-10T04:00:00+08:00
C000019,UID000019,browse,浏览权益商城,2026-06-24T09:00:00+08:00
C000020,UID000020,browse,浏览分期计算器,2026-07-16T05:00:00+08:00
C000020,UID000020,campaign_click,点击暑期出行活动推送,2026-06-30T12:00:00+08:00
C000021,UID000021,transaction,消费 6602元,2026-06-24T05:00:00+08:00
C000021,UID000021,campaign_click,点击ApplePay返现活动推送,2026-07-07T12:00:00+08:00
C000021,UID000021,campaign_click,点击双十一活动推送,2026-07-07T16:00:00+08:00
C000021,UID000021,service,投诉反馈,2026-07-09T06:00:00+08:00
C000022,UID000022,browse,浏览账单详情,2026-06-23T12:00:00+08:00
C000022,UID000022,transaction,消费 4988元,2026-06-24T17:00:00+08:00
C000023,UID000023,campaign_click,点击ApplePay返现活动推送,2026-06-23T07:00:00+08:00
C000024,UID000024,service,额度调整申请,2026-07-11T20:00:00+08:00
C000024,UID000024,transaction,消费 6852元,2026-07-06T17:00:00+08:00
C000024,UID000024,transaction,消费 7381元,2026-06-19T15:00:00+08:00
C000024,UID000024,search,搜索'出境游',2026-07-04T04:00:00+08:00
C000025,UID000025,search,搜索'出境游',2026-07-03T11:00:00+08:00
C000026,UID000026,browse,浏览权益商城,2026-06-22T23:00:00+08:00
C000026,UID000026,browse,浏览权益商城,2026-06-24T20:00:00+08:00
C000027,UID000027,service,额度调整申请,2026-06-24T18:00:00+08:00
C000027,UID000027,browse,浏览分期计算器,2026-07-11T11:00:00+08:00
C000027,UID000027,service,投诉反馈,2026-07-11T08:00:00+08:00
C000028,UID000028,transaction,消费 1647元,2026-06-18T18:00:00+08:00
C000028,UID000028,browse,浏览账单详情,2026-07-02T23:00:00+08:00
C000028,UID000028,browse,浏览账单详情,2026-07-08T13:00:00+08:00
C000028,UID000028,search,搜索'提额',2026-06-23T04:00:00+08:00
C000029,UID000029,browse,浏览分期计算器,2026-06-19T15:00:00+08:00
C000029,UID000029,search,搜索'积分兑换',2026-07-14T21:00:00+08:00
C000030,UID000030,browse,浏览账单详情,2026-06-18T06:00:00+08:00
C000030,UID000030,browse,浏览境外消费专区,2026-06-28T14:00:00+08:00
C000030,UID000030,browse,浏览账单详情,2026-07-11T22:00:00+08:00
C000031,UID000031,browse,浏览权益商城,2026-07-04T17:00:00+08:00
C000031,UID000031,browse,浏览权益商城,2026-07-14T19:00:00+08:00
C000032,UID000032,service,投诉反馈,2026-07-08T09:00:00+08:00
C000033,UID000033,transaction,消费 5461元,2026-06-18T16:00:00+08:00
C000033,UID000033,service,投诉反馈,2026-07-07T19:00:00+08:00
C000033,UID000033,campaign_click,点击ApplePay返现活动推送,2026-06-18T08:00:00+08:00
C000033,UID000033,transaction,消费 6017元,2026-07-08T10:00:00+08:00
C000033,UID000033,transaction,消费 5389元,2026-07-06T18:00:00+08:00
C000034,UID000034,campaign_click,点击ApplePay返现活动推送,2026-06-30T09:00:00+08:00
C000034,UID000034,campaign_click,点击ApplePay返现活动推送,2026-06-21T21:00:00+08:00
C000034,UID000034,transaction,消费 550元,2026-06-20T00:00:00+08:00
C000034,UID000034,service,额度调整申请,2026-07-06T21:00:00+08:00
C000034,UID000034,browse,浏览分期计算器,2026-06-26T22:00:00+08:00
C000035,UID000035,service,客服咨询分期,2026-06-18T06:00:00+08:00
C000035,UID000035,transaction,消费 7896元,2026-07-15T14:00:00+08:00
C000035,UID000035,service,客服咨询分期,2026-06-20T07:00:00+08:00
C000036,UID000036,browse,浏览权益商城,2026-06-23T18:00:00+08:00
C000036,UID000036,search,搜索'分期费率',2026-06-23T08:00:00+08:00
C000036,UID000036,transaction,消费 2506元,2026-07-08T12:00:00+08:00
C000037,UID000037,service,投诉反馈,2026-06-29T04:00:00+08:00
C000037,UID000037,service,客服咨询分期,2026-07-11T15:00:00+08:00
C000038,UID000038,search,搜索'汇率',2026-06-17T16:00:00+08:00
C000039,UID000039,search,搜索'汇率',2026-07-03T11:00:00+08:00
C000039,UID000039,campaign_click,点击暑期出行活动推送,2026-07-04T21:00:00+08:00
C000039,UID000039,search,搜索'汇率',2026-07-04T05:00:00+08:00
C000039,UID000039,service,额度调整申请,2026-07-09T01:00:00+08:00
C000040,UID000040,campaign_click,点击双十一活动推送,2026-07-13T20:00:00+08:00
C000040,UID000040,campaign_click,点击暑期出行活动推送,2026-06-17T09:00:00+08:00
C000040,UID000040,search,搜索'分期费率',2026-07-04T14:00:00+08:00
C000041,UID000041,search,搜索'积分兑换',2026-06-19T16:00:00+08:00
C000041,UID000041,search,搜索'分期费率',2026-07-05T06:00:00+08:00
C000041,UID000041,search,搜索'提额',2026-07-13T19:00:00+08:00
C000041,UID000041,search,搜索'出境游',2026-07-12T01:00:00+08:00
C000042,UID000042,service,额度调整申请,2026-07-16T00:00:00+08:00
C000043,UID000043,transaction,消费 1402元,2026-06-17T09:00:00+08:00
C000044,UID000044,campaign_click,点击暑期出行活动推送,2026-06-29T11:00:00+08:00
C000044,UID000044,transaction,消费 974元,2026-06-26T20:00:00+08:00
C000044,UID000044,transaction,消费 3253元,2026-07-15T07:00:00+08:00
C000044,UID000044,search,搜索'汇率',2026-07-08T01:00:00+08:00
C000044,UID000044,campaign_click,点击双十一活动推送,2026-06-29T15:00:00+08:00
C000045,UID000045,search,搜索'账单查询',2026-06-19T10:00:00+08:00
C000045,UID000045,service,投诉反馈,2026-06-22T12:00:00+08:00
C000045,UID000045,campaign_click,点击ApplePay返现活动推送,2026-06-20T04:00:00+08:00
C000046,UID000046,browse,浏览权益商城,2026-07-11T23:00:00+08:00
C000046,UID000046,search,搜索'提额',2026-07-07T22:00:00+08:00
C000046,UID000046,browse,浏览境外消费专区,2026-07-12T16:00:00+08:00
C000046,UID000046,search,搜索'出境游',2026-06-26T09:00:00+08:00
C000046,UID000046,service,投诉反馈,2026-07-11T17:00:00+08:00
C000047,UID000047,service,额度调整申请,2026-07-14T02:00:00+08:00
C000047,UID000047,campaign_click,点击暑期出行活动推送,2026-07-05T19:00:00+08:00
C000047,UID000047,browse,浏览账单详情,2026-06-23T05:00:00+08:00
C000047,UID000047,service,额度调整申请,2026-07-06T03:00:00+08:00
C000047,UID000047,service,投诉反馈,2026-07-10T09:00:00+08:00
C000048,UID000048,campaign_click,点击双十一活动推送,2026-07-11T06:00:00+08:00
C000048,UID000048,search,搜索'积分兑换',2026-07-06T14:00:00+08:00
C000048,UID000048,service,投诉反馈,2026-06-28T09:00:00+08:00
C000048,UID000048,campaign_click,点击双十一活动推送,2026-06-26T07:00:00+08:00
C000048,UID000048,service,客服咨询分期,2026-07-02T11:00:00+08:00
C000049,UID000049,browse,浏览权益商城,2026-06-23T04:00:00+08:00
C000049,UID000049,search,搜索'出境游',2026-07-05T06:00:00+08:00
C000049,UID000049,campaign_click,点击暑期出行活动推送,2026-07-08T01:00:00+08:00
C000049,UID000049,campaign_click,点击双十一活动推送,2026-07-13T14:00:00+08:00
C000050,UID000050,transaction,消费 1986元,2026-06-28T23:00:00+08:00
C000050,UID000050,browse,浏览权益商城,2026-06-21T11:00:00+08:00
C000050,UID000050,transaction,消费 6337元,2026-06-30T13:00:00+08:00
C000051,UID000051,service,额度调整申请,2026-06-27T04:00:00+08:00
C000051,UID000051,service,投诉反馈,2026-06-25T00:00:00+08:00
C000051,UID000051,service,额度调整申请,2026-07-10T13:00:00+08:00
C000051,UID000051,service,客服咨询分期,2026-06-17T12:00:00+08:00
C000051,UID000051,service,客服咨询分期,2026-07-06T22:00:00+08:00
C000052,UID000052,search,搜索'提额',2026-07-14T08:00:00+08:00
C000053,UID000053,service,客服咨询分期,2026-07-11T03:00:00+08:00
C000053,UID000053,service,额度调整申请,2026-07-07T04:00:00+08:00
C000054,UID000054,campaign_click,点击ApplePay返现活动推送,2026-07-16T20:00:00+08:00
C000055,UID000055,campaign_click,点击暑期出行活动推送,2026-07-07T23:00:00+08:00
C000055,UID000055,browse,浏览分期计算器,2026-06-21T05:00:00+08:00
C000055,UID000055,browse,浏览分期计算器,2026-07-04T13:00:00+08:00
C000056,UID000056,transaction,消费 5300元,2026-06-21T16:00:00+08:00
C000056,UID000056,transaction,消费 6306元,2026-07-01T10:00:00+08:00
C000056,UID000056,campaign_click,点击ApplePay返现活动推送,2026-07-06T23:00:00+08:00
C000057,UID000057,browse,浏览境外消费专区,2026-06-22T14:00:00+08:00
C000057,UID000057,transaction,消费 4638元,2026-07-01T16:00:00+08:00
C000057,UID000057,browse,浏览分期计算器,2026-06-23T01:00:00+08:00
C000057,UID000057,browse,浏览分期计算器,2026-07-14T19:00:00+08:00
C000058,UID000058,campaign_click,点击ApplePay返现活动推送,2026-06-20T15:00:00+08:00
C000058,UID000058,service,投诉反馈,2026-06-21T06:00:00+08:00
C000058,UID000058,search,搜索'积分兑换',2026-07-14T03:00:00+08:00
C000059,UID000059,transaction,消费 7028元,2026-06-19T19:00:00+08:00
C000059,UID000059,service,客服咨询分期,2026-06-28T04:00:00+08:00
C000059,UID000059,campaign_click,点击暑期出行活动推送,2026-07-08T06:00:00+08:00
C000060,UID000060,browse,浏览分期计算器,2026-06-18T19:00:00+08:00
C000060,UID000060,campaign_click,点击ApplePay返现活动推送,2026-07-04T09:00:00+08:00
C000060,UID000060,campaign_click,点击暑期出行活动推送,2026-06-17T06:00:00+08:00
C000060,UID000060,search,搜索'优惠券',2026-07-12T23:00:00+08:00
C000061,UID000061,campaign_click,点击双十一活动推送,2026-07-06T16:00:00+08:00
C000061,UID000061,service,投诉反馈,2026-07-16T23:00:00+08:00
C000062,UID000062,search,搜索'汇率',2026-07-06T06:00:00+08:00
C000062,UID000062,search,搜索'出境游',2026-07-12T15:00:00+08:00
C000062,UID000062,service,额度调整申请,2026-06-28T01:00:00+08:00
C000063,UID000063,browse,浏览账单详情,2026-07-09T02:00:00+08:00
C000063,UID000063,search,搜索'汇率',2026-06-24T18:00:00+08:00
C000063,UID000063,campaign_click,点击ApplePay返现活动推送,2026-06-19T09:00:00+08:00
C000063,UID000063,transaction,消费 5088元,2026-07-06T19:00:00+08:00
C000064,UID000064,service,客服咨询分期,2026-07-14T15:00:00+08:00
C000064,UID000064,service,客服咨询分期,2026-06-23T19:00:00+08:00
C000064,UID000064,browse,浏览账单详情,2026-07-15T08:00:00+08:00
C000065,UID000065,search,搜索'出境游',2026-07-04T17:00:00+08:00
C000065,UID000065,browse,浏览权益商城,2026-06-18T11:00:00+08:00
C000066,UID000066,campaign_click,点击暑期出行活动推送,2026-06-27T09:00:00+08:00
C000067,UID000067,transaction,消费 4320元,2026-07-02T20:00:00+08:00
C000067,UID000067,transaction,消费 7438元,2026-06-26T12:00:00+08:00
C000067,UID000067,browse,浏览分期计算器,2026-06-27T18:00:00+08:00
C000067,UID000067,campaign_click,点击双十一活动推送,2026-07-15T15:00:00+08:00
C000068,UID000068,search,搜索'优惠券',2026-07-01T22:00:00+08:00
C000068,UID000068,service,客服咨询分期,2026-07-15T17:00:00+08:00
C000068,UID000068,transaction,消费 6728元,2026-07-15T08:00:00+08:00
C000068,UID000068,browse,浏览权益商城,2026-07-07T15:00:00+08:00
C000068,UID000068,campaign_click,点击双十一活动推送,2026-06-26T15:00:00+08:00
C000069,UID000069,service,客服咨询分期,2026-07-15T03:00:00+08:00
C000069,UID000069,search,搜索'出境游',2026-06-26T05:00:00+08:00
C000069,UID000069,search,搜索'账单查询',2026-07-09T09:00:00+08:00
C000069,UID000069,campaign_click,点击双十一活动推送,2026-07-15T01:00:00+08:00
C000070,UID000070,search,搜索'积分兑换',2026-06-28T17:00:00+08:00
C000071,UID000071,service,额度调整申请,2026-07-01T10:00:00+08:00
C000071,UID000071,service,额度调整申请,2026-07-09T11:00:00+08:00
C000071,UID000071,service,额度调整申请,2026-07-04T15:00:00+08:00
C000071,UID000071,browse,浏览权益商城,2026-07-07T14:00:00+08:00
C000072,UID000072,browse,浏览权益商城,2026-06-18T08:00:00+08:00
C000072,UID000072,campaign_click,点击ApplePay返现活动推送,2026-07-06T02:00:00+08:00
C000073,UID000073,browse,浏览权益商城,2026-06-22T01:00:00+08:00
C000073,UID000073,search,搜索'出境游',2026-06-18T23:00:00+08:00
C000074,UID000074,campaign_click,点击ApplePay返现活动推送,2026-07-10T06:00:00+08:00
C000074,UID000074,browse,浏览权益商城,2026-07-10T17:00:00+08:00
C000074,UID000074,campaign_click,点击双十一活动推送,2026-06-27T01:00:00+08:00
C000074,UID000074,transaction,消费 1594元,2026-06-24T17:00:00+08:00
C000075,UID000075,transaction,消费 6154元,2026-07-05T03:00:00+08:00
C000076,UID000076,browse,浏览账单详情,2026-06-26T08:00:00+08:00
C000077,UID000077,search,搜索'出境游',2026-07-03T00:00:00+08:00
C000077,UID000077,service,额度调整申请,2026-07-09T00:00:00+08:00
C000077,UID000077,transaction,消费 166元,2026-06-21T11:00:00+08:00
C000078,UID000078,service,客服咨询分期,2026-07-07T02:00:00+08:00
C000078,UID000078,browse,浏览账单详情,2026-06-26T21:00:00+08:00
C000078,UID000078,browse,浏览境外消费专区,2026-06-20T08:00:00+08:00
C000078,UID000078,service,额度调整申请,2026-07-11T21:00:00+08:00
C000079,UID000079,campaign_click,点击ApplePay返现活动推送,2026-07-09T01:00:00+08:00
C000079,UID000079,transaction,消费 7248元,2026-07-02T02:00:00+08:00
C000079,UID000079,campaign_click,点击双十一活动推送,2026-07-02T17:00:00+08:00
C000080,UID000080,campaign_click,点击ApplePay返现活动推送,2026-07-07T23:00:00+08:00
C000080,UID000080,campaign_click,点击双十一活动推送,2026-07-06T09:00:00+08:00
C000081,UID000081,transaction,消费 1341元,2026-06-25T23:00:00+08:00
C000081,UID000081,transaction,消费 4205元,2026-06-23T13:00:00+08:00
C000081,UID000081,campaign_click,点击ApplePay返现活动推送,2026-07-10T10:00:00+08:00
C000082,UID000082,transaction,消费 1530元,2026-07-05T07:00:00+08:00
C000083,UID000083,browse,浏览权益商城,2026-06-30T07:00:00+08:00
C000083,UID000083,campaign_click,点击暑期出行活动推送,2026-06-25T02:00:00+08:00
C000083,UID000083,browse,浏览账单详情,2026-06-20T05:00:00+08:00
C000083,UID000083,search,搜索'汇率',2026-07-04T03:00:00+08:00
C000083,UID000083,browse,浏览权益商城,2026-06-27T06:00:00+08:00
C000084,UID000084,browse,浏览账单详情,2026-07-06T12:00:00+08:00
C000084,UID000084,browse,浏览账单详情,2026-07-03T16:00:00+08:00
C000084,UID000084,transaction,消费 98元,2026-07-09T06:00:00+08:00
C000084,UID000084,search,搜索'提额',2026-07-08T22:00:00+08:00
C000084,UID000084,transaction,消费 7226元,2026-07-07T20:00:00+08:00
C000085,UID000085,service,额度调整申请,2026-07-01T07:00:00+08:00
C000085,UID000085,browse,浏览权益商城,2026-07-08T09:00:00+08:00
C000085,UID000085,search,搜索'积分兑换',2026-06-30T06:00:00+08:00
C000085,UID000085,service,额度调整申请,2026-06-27T03:00:00+08:00
C000085,UID000085,search,搜索'提额',2026-07-13T03:00:00+08:00
C000086,UID000086,service,投诉反馈,2026-07-15T01:00:00+08:00
C000086,UID000086,transaction,消费 1223元,2026-07-03T09:00:00+08:00
C000086,UID000086,browse,浏览分期计算器,2026-06-18T23:00:00+08:00
C000086,UID000086,campaign_click,点击双十一活动推送,2026-06-25T00:00:00+08:00
C000087,UID000087,search,搜索'汇率',2026-07-02T09:00:00+08:00
C000087,UID000087,search,搜索'积分兑换',2026-06-20T04:00:00+08:00
C000087,UID000087,transaction,消费 7018元,2026-07-08T02:00:00+08:00
C000088,UID000088,search,搜索'分期费率',2026-06-25T17:00:00+08:00
C000088,UID000088,service,投诉反馈,2026-07-13T17:00:00+08:00
C000088,UID000088,browse,浏览境外消费专区,2026-07-16T01:00:00+08:00
C000088,UID000088,campaign_click,点击暑期出行活动推送,2026-06-27T20:00:00+08:00
C000089,UID000089,service,额度调整申请,2026-06-18T16:00:00+08:00
C000090,UID000090,browse,浏览境外消费专区,2026-06-20T19:00:00+08:00
C000090,UID000090,browse,浏览分期计算器,2026-07-07T04:00:00+08:00
C000090,UID000090,campaign_click,点击双十一活动推送,2026-06-24T03:00:00+08:00
C000090,UID000090,transaction,消费 6230元,2026-06-22T07:00:00+08:00
C000091,UID000091,service,额度调整申请,2026-06-25T08:00:00+08:00
C000091,UID000091,search,搜索'分期费率',2026-07-05T03:00:00+08:00
C000091,UID000091,service,投诉反馈,2026-06-17T12:00:00+08:00
C000091,UID000091,campaign_click,点击ApplePay返现活动推送,2026-07-14T13:00:00+08:00
C000092,UID000092,search,搜索'提额',2026-06-24T14:00:00+08:00
C000092,UID000092,service,客服咨询分期,2026-06-25T11:00:00+08:00
C000092,UID000092,service,投诉反馈,2026-07-03T07:00:00+08:00
C000092,UID000092,browse,浏览分期计算器,2026-07-15T06:00:00+08:00
C000093,UID000093,transaction,消费 3386元,2026-07-04T16:00:00+08:00
C000093,UID000093,search,搜索'提额',2026-07-06T06:00:00+08:00
C000093,UID000093,browse,浏览境外消费专区,2026-07-13T02:00:00+08:00
C000093,UID000093,search,搜索'出境游',2026-06-19T22:00:00+08:00
C000094,UID000094,campaign_click,点击双十一活动推送,2026-07-06T11:00:00+08:00
C000094,UID000094,transaction,消费 7474元,2026-07-12T16:00:00+08:00
C000095,UID000095,search,搜索'提额',2026-06-30T20:00:00+08:00
C000095,UID000095,service,客服咨询分期,2026-06-27T12:00:00+08:00
C000095,UID000095,campaign_click,点击双十一活动推送,2026-07-12T22:00:00+08:00
C000096,UID000096,campaign_click,点击ApplePay返现活动推送,2026-07-02T01:00:00+08:00
C000096,UID000096,campaign_click,点击ApplePay返现活动推送,2026-06-20T02:00:00+08:00
C000096,UID000096,campaign_click,点击ApplePay返现活动推送,2026-07-01T07:00:00+08:00
C000096,UID000096,campaign_click,点击暑期出行活动推送,2026-07-01T06:00:00+08:00
C000097,UID000097,service,客服咨询分期,2026-06-23T18:00:00+08:00
C000097,UID000097,campaign_click,点击双十一活动推送,2026-07-03T17:00:00+08:00
C000097,UID000097,browse,浏览权益商城,2026-07-11T09:00:00+08:00
C000097,UID000097,browse,浏览境外消费专区,2026-06-24T18:00:00+08:00
C000097,UID000097,campaign_click,点击双十一活动推送,2026-06-18T19:00:00+08:00
C000098,UID000098,campaign_click,点击ApplePay返现活动推送,2026-06-23T22:00:00+08:00
C000098,UID000098,browse,浏览权益商城,2026-07-12T17:00:00+08:00
C000098,UID000098,search,搜索'提额',2026-07-12T09:00:00+08:00
C000099,UID000099,campaign_click,点击双十一活动推送,2026-06-17T02:00:00+08:00
C000099,UID000099,search,搜索'出境游',2026-07-01T12:00:00+08:00
C000099,UID000099,search,搜索'分期费率',2026-06-22T05:00:00+08:00
C000099,UID000099,campaign_click,点击ApplePay返现活动推送,2026-06-20T08:00:00+08:00
C000100,UID000100,service,客服咨询分期,2026-06-25T04:00:00+08:00
C000100,UID000100,campaign_click,点击ApplePay返现活动推送,2026-07-05T03:00:00+08:00
C000101,UID000101,service,客服咨询分期,2026-07-16T11:00:00+08:00
C000101,UID000101,transaction,消费 3435元,2026-07-11T00:00:00+08:00
C000102,UID000102,browse,浏览分期计算器,2026-07-03T09:00:00+08:00
C000102,UID000102,browse,浏览账单详情,2026-07-01T10:00:00+08:00
C000103,UID000103,campaign_click,点击双十一活动推送,2026-06-23T15:00:00+08:00
C000103,UID000103,campaign_click,点击双十一活动推送,2026-06-30T15:00:00+08:00
C000103,UID000103,search,搜索'分期费率',2026-06-21T15:00:00+08:00
C000103,UID000103,search,搜索'出境游',2026-07-10T01:00:00+08:00
C000104,UID000104,transaction,消费 6213元,2026-07-16T18:00:00+08:00
C000104,UID000104,transaction,消费 1476元,2026-07-07T08:00:00+08:00
C000104,UID000104,service,额度调整申请,2026-07-07T02:00:00+08:00
C000104,UID000104,transaction,消费 1093元,2026-06-23T14:00:00+08:00
C000105,UID000105,browse,浏览权益商城,2026-06-20T11:00:00+08:00
C000105,UID000105,search,搜索'汇率',2026-06-29T08:00:00+08:00
C000106,UID000106,search,搜索'分期费率',2026-07-09T07:00:00+08:00
C000106,UID000106,service,投诉反馈,2026-06-19T03:00:00+08:00
C000107,UID000107,browse,浏览境外消费专区,2026-06-30T03:00:00+08:00
C000107,UID000107,transaction,消费 4655元,2026-06-25T22:00:00+08:00
C000107,UID000107,browse,浏览权益商城,2026-07-10T04:00:00+08:00
C000107,UID000107,search,搜索'出境游',2026-07-13T04:00:00+08:00
C000107,UID000107,campaign_click,点击ApplePay返现活动推送,2026-06-22T22:00:00+08:00
C000108,UID000108,campaign_click,点击暑期出行活动推送,2026-07-16T18:00:00+08:00
C000108,UID000108,service,额度调整申请,2026-07-03T12:00:00+08:00
C000108,UID000108,transaction,消费 5948元,2026-07-04T04:00:00+08:00
C000108,UID000108,campaign_click,点击双十一活动推送,2026-07-07T09:00:00+08:00
C000109,UID000109,search,搜索'出境游',2026-06-26T17:00:00+08:00
C000109,UID000109,service,投诉反馈,2026-06-19T14:00:00+08:00
C000109,UID000109,campaign_click,点击双十一活动推送,2026-07-08T14:00:00+08:00
C000109,UID000109,transaction,消费 4075元,2026-07-10T03:00:00+08:00
C000109,UID000109,campaign_click,点击双十一活动推送,2026-07-15T02:00:00+08:00
C000110,UID000110,browse,浏览境外消费专区,2026-07-16T17:00:00+08:00
C000110,UID000110,browse,浏览分期计算器,2026-07-10T13:00:00+08:00
C000110,UID000110,search,搜索'出境游',2026-06-25T18:00:00+08:00
C000110,UID000110,browse,浏览分期计算器,2026-06-23T14:00:00+08:00
C000110,UID000110,service,额度调整申请,2026-06-24T14:00:00+08:00
C000111,UID000111,search,搜索'提额',2026-06-28T04:00:00+08:00
C000111,UID000111,search,搜索'出境游',2026-06-20T01:00:00+08:00
C000111,UID000111,search,搜索'账单查询',2026-07-05T12:00:00+08:00
C000111,UID000111,service,额度调整申请,2026-06-29T23:00:00+08:00
C000112,UID000112,transaction,消费 2751元,2026-06-24T12:00:00+08:00
C000113,UID000113,browse,浏览账单详情,2026-06-19T05:00:00+08:00
C000113,UID000113,campaign_click,点击暑期出行活动推送,2026-06-27T22:00:00+08:00
C000114,UID000114,transaction,消费 4960元,2026-06-21T01:00:00+08:00
C000114,UID000114,campaign_click,点击暑期出行活动推送,2026-07-09T08:00:00+08:00
C000114,UID000114,transaction,消费 7479元,2026-06-18T00:00:00+08:00
C000115,UID000115,browse,浏览境外消费专区,2026-07-13T16:00:00+08:00
C000116,UID000116,service,投诉反馈,2026-07-03T16:00:00+08:00
C000116,UID000116,search,搜索'汇率',2026-07-09T12:00:00+08:00
C000116,UID000116,search,搜索'积分兑换',2026-07-03T13:00:00+08:00
C000116,UID000116,service,客服咨询分期,2026-06-20T13:00:00+08:00
C000117,UID000117,transaction,消费 7805元,2026-07-12T02:00:00+08:00
C000117,UID000117,service,投诉反馈,2026-07-13T06:00:00+08:00
C000117,UID000117,browse,浏览权益商城,2026-06-25T16:00:00+08:00
C000117,UID000117,transaction,消费 4653元,2026-06-28T15:00:00+08:00
C000117,UID000117,browse,浏览分期计算器,2026-06-28T15:00:00+08:00
C000118,UID000118,browse,浏览境外消费专区,2026-07-02T09:00:00+08:00
