cust_id,value_annual_consumption,value_monthly_avg_consumption,value_max_single_transaction,value_transaction_count_12m,value_installment_contribution_12m,risk_overdue_status,risk_history_overdue_count_6m,risk_min_payment_frequency_6m,long_term_90d_total_consumption,long_term_90d_txn_count,long_term_90d_max_single,long_term_90d_active_days,long_term_90d_activity_score,long_term_90d_dormancy_risk,long_term_90d_significant_signals,long_term_90d_monthly_avg_90d,mid_term_30d_total_consumption,mid_term_30d_txn_count,mid_term_30d_max_single,mid_term_30d_active_days,mid_term_30d_consumption_trend,mid_term_30d_trend_change_pct,short_term_7d_total_consumption,short_term_7d_txn_count,short_term_7d_active_days,short_term_7d_avg_daily_spend,realtime_signal_count,realtime_has_high_value_txn
C000027,24563.44,2046.95,4247.12,30,1653.62,M0,0,0,6710.0,7,1061.78,4,7,high,"活跃度骤降,沉睡预警",2236.67,2538.86,2,424.71,1,up,22.2,586.96,0,0,83.85,0,False
C000028,242425.55,20202.13,21996.14,830,27695.16,M0,0,0,81951.0,207,5499.04,90,100,low,,27317.0,29981.74,72,2199.61,31,stable,4.7,8139.84,18,7,1162.83,0,False
C000029,142832.77,11902.73,41464.02,103,9938.18,M0,0,0,21945.45,25,10366.0,15,27,medium,活跃度骤降,7315.15,5811.88,8,4146.4,5,stable,-6.8,1079.14,2,1,154.16,0,False
C000030,80531.41,6710.95,9701.11,227,9637.49,M0,0,1,23918.97,56,2425.28,33,45,medium,,7972.99,9896.02,19,970.11,11,stable,9.6,1995.2,4,2,285.03,0,False
C000031,1037778.03,86481.5,148406.95,858,87256.74,M1,1,1,318118.87,278,37101.74,90,100,low,,106039.62,128101.04,97,14840.7,31,stable,-9.2,24399.22,24,7,3485.6,1,False
C000032,7968.02,664.0,2182.29,11,407.04,M3+,3,0,340.81,0,545.57,0,0,high,"活跃度骤降,沉睡预警",113.6,151.5,0,218.23,0,stable,-15.3,39.54,0,0,5.65,0,False
C000033,691955.03,57662.92,150935.88,587,89371.46,M0,0,0,206659.89,176,37733.97,90,100,low,,68886.63,53129.64,61,15093.59,31,stable,-1.9,12816.44,15,7,1830.92,1,False
C000034,190230.55,15852.55,45727.17,189,11435.19,M0,0,0,31302.93,47,11431.79,28,45,medium,,10434.31,13071.81,16,4572.72,9,stable,-7.6,2447.07,4,2,349.58,0,False
C000035,30477.0,2539.75,7716.77,21,4528.88,M0,0,0,5080.52,5,1929.19,3,5,high,"活跃度骤降,沉睡预警",1693.51,2073.87,1,771.68,1,stable,-2.3,494.9,0,0,70.7,1,False
C000036,130569.38,10880.78,21826.65,477,8079.87,M0,0,0,50787.79,155,5456.66,90,100,low,,16929.26,18664.89,54,2182.67,31,stable,-15.6,4315.89,13,7,616.56,0,False
C000037,37251.69,3104.31,1975.78,25,2023.36,M3+,3,1,2597.14,1,493.94,0,1,high,"活跃度骤降,沉睡预警",865.71,676.55,0,197.58,0,stable,-2.1,216.76,0,0,30.97,0,False
C000038,182223.67,15185.31,37700.17,189,25532.42,M0,0,0,61971.05,47,9425.04,28,56,low,,20657.02,26768.73,16,3770.02,9,stable,1.8,7174.55,4,2,1024.94,0,False
C000039,476310.28,39692.52,93315.86,1582,70226.94,M1,1,0,122516.18,395,23328.97,90,100,low,,40838.73,37980.11,138,9331.59,31,stable,-11.2,10547.45,34,7,1506.78,0,False
C000040,946110.91,78842.58,218958.33,948,86875.98,M1,1,1,150473.01,237,54739.58,90,100,low,,50157.67,37699.07,82,21895.83,31,stable,5.2,11180.9,20,7,1597.27,2,False
C000041,35430.09,2952.51,10362.54,27,4741.71,M0,0,0,7251.88,6,2590.64,3,7,high,"活跃度骤降,沉睡预警",2417.29,1862.56,2,1036.25,1,stable,-12.7,553.06,0,0,79.01,2,False
C000042,695729.8,57977.48,199111.91,533,51995.23,M0,0,0,237111.82,133,49777.98,79,95,low,,79037.27,88275.94,46,19911.19,27,stable,12.2,24342.54,11,6,3477.51,0,False
C000043,135551.95,11296.0,24409.78,112,13828.52,M0,0,0,35540.04,28,6102.44,16,36,medium,,11846.68,15250.13,9,2440.98,5,stable,4.0,2975.34,2,1,425.05,0,False
C000044,139105.48,11592.12,14361.39,368,7157.6,M1,1,1,6355.7,18,3590.35,10,13,high,"活跃度骤降,沉睡预警",2118.57,2141.04,6,1436.14,3,stable,-13.9,486.53,1,0,69.5,0,False
C000045,113559.92,9463.33,30160.48,79,7348.16,M1,1,0,22899.23,19,7540.12,11,24,medium,活跃度骤降,7633.08,7818.22,6,3016.05,3,stable,-16.1,1945.9,1,0,277.99,0,False
C000046,303941.73,25328.48,24990.07,829,19814.04,M0,0,0,56647.45,207,6247.52,90,100,low,,18882.48,17990.67,72,2499.01,31,stable,-13.7,4427.4,18,7,632.49,0,False
C000047,18513.25,1542.77,1707.55,32,1253.37,M0,0,0,4483.09,8,426.89,4,6,high,"活跃度骤降,沉睡预警",1494.36,1292.61,2,170.75,1,stable,5.7,323.81,0,0,46.26,0,True
C000048,37610.93,3134.24,2649.3,28,5344.03,M0,0,0,11706.03,7,662.33,4,10,high,"活跃度骤降,沉睡预警",3902.01,4707.4,2,264.93,1,stable,14.4,971.62,0,0,138.8,0,False
C000049,106891.97,8907.66,17704.91,91,5736.71,M0,0,0,35171.88,22,4426.23,13,33,medium,,11723.96,12396.41,7,1770.49,4,stable,-1.3,2368.65,1,1,338.38,0,False
C000050,75180.39,6265.03,10850.11,332,6180.42,M0,0,0,13077.81,83,2712.53,49,54,low,,4359.27,5649.75,29,1085.01,17,stable,-3.6,1564.22,7,4,223.46,0,False
C000051,5217.45,434.79,1026.33,4,486.09,M0,0,0,232.3,0,256.58,0,0,high,"活跃度骤降,沉睡预警",77.43,88.42,0,102.63,0,stable,-2.8,20.2,0,0,2.89,2,False
C000052,93793.95,7816.16,8274.01,180,6196.79,M0,0,0,17321.37,45,2068.5,27,35,medium,,5773.79,7505.71,15,827.4,9,up,20.2,1904.02,3,2,272.0,0,False
C000053,3639.89,303.32,1064.19,2,479.4,M0,0,0,206.55,0,266.05,0,0,high,"活跃度骤降,沉睡预警",68.85,90.92,0,106.42,0,stable,-2.2,23.71,0,0,3.39,0,False
C000054,487347.2,40612.27,76201.17,566,36181.13,M0,0,0,131605.16,183,19050.29,90,100,low,,43868.39,48306.99,64,7620.12,31,up,16.0,11940.09,16,7,1705.73,0,False
C000055,105487.52,8790.63,6945.69,70,8674.81,M0,0,0,30201.13,17,1736.42,10,27,medium,活跃度骤降,10067.04,12220.82,5,694.57,3,stable,-3.7,3003.1,1,0,429.01,0,False
C000056,65244.06,5437.0,19002.77,180,8030.68,M1,1,0,10654.31,45,4750.69,27,31,medium,,3551.44,4268.49,15,1900.28,9,stable,-2.9,1285.99,3,2,183.71,0,False
C000057,32396.5,2699.71,2950.23,25,3774.83,M0,0,0,10543.12,6,737.56,3,9,high,"活跃度骤降,沉睡预警",3514.37,3451.96,2,295.02,1,stable,-11.2,831.47,0,0,118.78,0,False
C000058,38673.36,3222.78,6794.14,77,5412.63,M0,0,0,12812.27,19,1698.53,11,18,high,"活跃度骤降,沉睡预警",4270.76,4818.57,6,679.41,3,up,18.1,1522.55,1,0,217.51,0,False
C000059,122181.74,10181.81,25049.48,136,17030.82,M0,0,0,31133.53,40,6262.37,24,41,medium,,10377.84,9252.35,14,2504.95,8,stable,-8.9,1665.7,3,2,237.96,0,False
C000060,191593.69,15966.14,48916.61,557,25797.18,M0,0,0,59290.41,139,12229.15,83,96,low,,19763.47,16392.77,48,4891.66,29,stable,12.1,4644.69,12,7,663.53,0,False
C000061,56422.99,4701.92,6372.96,86,3845.78,M1,1,0,16882.96,27,1593.24,16,25,medium,活跃度骤降,5627.65,5774.33,9,637.3,5,stable,-15.2,1143.33,2,1,163.33,0,False
C000062,608675.48,50722.96,163143.88,431,64832.05,M0,0,1,177397.09,107,40785.97,64,88,low,,59132.36,49144.88,37,16314.39,22,stable,-3.0,13072.9,9,5,1867.56,0,False
C000063,52184.49,4348.71,8490.93,150,7748.57,M0,0,0,17438.41,37,2122.73,22,31,medium,,5812.8,7458.03,12,849.09,7,stable,-0.7,1966.62,3,1,280.95,0,False
C000064,185029.36,15419.11,9465.73,292,16618.76,M0,0,1,40571.24,73,2366.43,43,65,low,,13523.75,12895.98,25,946.57,15,stable,-8.7,3131.57,6,3,447.37,0,False
C000065,306088.21,25507.35,53440.54,411,43306.77,M0,0,0,84618.96,102,13360.13,61,87,low,,28206.32,20964.33,35,5344.05,21,stable,-6.1,4228.62,8,5,604.09,1,False
C000066,69924.44,5827.04,20922.69,81,7659.42,M0,0,0,13424.17,20,5230.67,12,19,high,"活跃度骤降,沉睡预警",4474.72,5820.61,7,2092.27,4,stable,13.4,1185.09,1,1,169.3,0,False
C000067,112780.85,9398.4,27505.21,142,11553.16,M0,0,0,29540.47,35,6876.3,21,37,medium,,9846.82,8200.45,12,2750.52,7,stable,14.6,2495.13,3,1,356.45,1,False
C000068,189674.58,15806.22,28865.35,814,12445.55,M0,0,0,35374.89,244,7216.34,90,91,low,,11791.63,10315.82,85,2886.53,31,stable,12.1,2844.94,21,7,406.42,0,False
C000069,608542.14,50711.84,129732.98,1194,36478.53,M0,0,0,234512.15,358,32433.25,90,100,low,,78170.72,98341.77,125,12973.3,31,stable,4.3,27064.91,31,7,3866.42,0,False
C000070,30340.67,2528.39,2165.63,64,1597.53,M0,0,0,7108.36,16,541.41,9,13,high,"活跃度骤降,沉睡预警",2369.45,3074.09,5,216.56,3,stable,-11.3,695.58,1,0,99.37,0,False
C000071,186108.59,15509.05,38345.3,254,19579.5,M0,0,0,82185.15,82,9586.32,49,76,low,,27395.05,33314.35,28,3834.53,17,up,16.8,10169.88,7,4,1452.84,0,False
C000072,42786.86,3565.57,2379.69,77,4456.83,M0,0,0,7610.55,19,594.92,11,15,high,"活跃度骤降,沉睡预警",2536.85,3198.98,6,237.97,3,stable,-16.2,812.07,1,0,116.01,0,False
C000073,27940.53,2328.38,2219.53,29,2162.75,M0,0,0,8827.76,7,554.88,4,9,high,"活跃度骤降,沉睡预警",2942.59,2545.47,2,221.95,1,up,24.3,497.72,0,0,71.1,1,False
C000074,31803.12,2650.26,6877.72,74,4498.27,M0,0,0,8071.11,18,1719.43,10,14,high,"活跃度骤降,沉睡预警",2690.37,2057.03,6,687.77,3,up,15.4,587.7,1,0,83.96,0,False
C000075,126379.94,10531.66,15440.27,190,15406.29,M0,0,0,30989.63,47,3860.07,28,45,medium,,10329.88,11911.52,16,1544.03,9,stable,-14.9,3393.42,4,2,484.77,0,True
C000076,6730.15,560.85,423.03,7,738.19,M1,1,2,230.6,0,105.76,0,0,high,"活跃度骤降,沉睡预警",76.87,60.14,0,42.3,0,stable,-8.4,14.99,0,0,2.14,0,False
C000077,46459.05,3871.59,11607.98,42,3587.31,M0,0,0,9383.79,12,2901.99,7,12,high,"活跃度骤降,沉睡预警",3127.93,4106.68,4,1160.8,2,up,17.0,1304.02,1,0,186.29,0,False
C000078,36839.1,3069.93,8585.58,29,4268.85,M0,0,0,7365.37,7,2146.4,4,8,high,"活跃度骤降,沉睡预警",2455.12,2561.52,2,858.56,1,stable,12.6,827.76,0,0,118.25,1,True
C000079,56721.09,4726.76,5396.66,60,8028.8,M0,0,0,11881.36,15,1349.17,9,15,high,"活跃度骤降,沉睡预警",3960.45,5217.38,5,539.67,3,stable,-15.9,1652.03,1,0,236.0,0,False
C000080,52576.33,4381.36,13524.15,211,5763.78,M0,0,0,11304.32,68,3381.04,40,44,medium,,3768.11,4422.48,23,1352.42,14,stable,6.8,1254.73,5,3,179.25,0,False
C000081,46556.99,3879.75,6037.89,45,6452.7,M0,0,0,7210.75,11,1509.47,6,10,high,"活跃度骤降,沉睡预警",2403.58,3084.19,3,603.79,2,up,23.7,944.4,0,0,134.91,0,False
C000082,82657.03,6888.09,11380.05,69,7455.09,M0,0,0,34894.17,22,2845.01,13,33,medium,,11631.39,15760.21,7,1138.01,4,stable,-9.7,3745.65,1,1,535.09,0,False
C000083,63257.0,5271.42,8770.93,110,5037.21,M0,0,0,9714.68,27,2192.73,16,21,medium,活跃度骤降,3238.23,4395.13,9,877.09,5,stable,3.0,1022.52,2,1,146.07,0,False
C000084,43422.96,3618.58,3141.77,58,5988.54,M1,1,0,11840.67,14,785.44,8,14,high,"活跃度骤降,沉睡预警",3946.89,3316.3,4,314.18,2,stable,-16.4,695.6,1,0,99.37,1,False
C000085,23953.96,1996.16,2579.06,55,1725.85,M0,0,2,1054.09,2,644.77,1,1,high,"活跃度骤降,沉睡预警",351.36,271.06,0,257.91,0,stable,-15.8,83.37,0,0,11.91,1,False
C000086,5258.69,438.22,1259.77,4,343.86,M2,2,0,204.84,0,314.94,0,0,high,"活跃度骤降,沉睡预警",68.28,73.28,0,125.98,0,stable,-3.6,19.2,0,0,2.74,0,False
C000087,7171.4,597.62,1951.96,4,976.84,M0,0,0,2425.53,1,487.99,0,1,high,"活跃度骤降,沉睡预警",808.51,638.56,0,195.2,0,stable,3.8,147.45,0,0,21.06,0,False
C000088,4882.7,406.89,512.91,4,281.31,M3+,3,1,240.34,0,128.23,0,0,high,"活跃度骤降,沉睡预警",80.11,88.78,0,51.29,0,stable,-11.5,20.17,0,0,2.88,0,False
C000089,184092.26,15341.02,45904.6,174,24863.16,M3+,3,2,58431.38,43,11476.15,25,54,low,,19477.13,22874.07,15,4590.46,8,stable,-6.7,6125.49,3,2,875.07,0,False
C000090,285686.58,23807.21,16373.22,224,17965.97,M0,0,0,52038.38,56,4093.3,33,61,low,,17346.13,21688.19,19,1637.32,11,stable,-11.7,5446.34,4,2,778.05,0,False
C000091,110156.19,9179.68,22907.35,204,12491.77,M1,1,2,3776.07,10,5726.84,6,7,high,"活跃度骤降,沉睡预警",1258.69,1528.61,3,2290.74,2,stable,-1.6,488.31,0,0,69.76,0,False
C000092,21178.73,1764.89,6021.26,19,1202.61,M1,1,2,692.42,0,1505.32,0,0,high,"活跃度骤降,沉睡预警",230.81,254.29,0,602.13,0,stable,6.6,68.19,0,0,9.74,0,False
C000093,98376.22,8198.02,23355.79,266,12378.32,M0,0,0,27460.61,86,5838.95,51,64,low,,9153.54,9545.72,30,2335.58,17,stable,-9.8,2648.88,7,4,378.41,0,False
C000094,248489.72,20707.48,40465.74,602,32174.69,M0,0,0,41367.63,150,10116.44,90,94,low,,13789.21,16046.7,52,4046.57,31,stable,-5.8,3465.91,13,7,495.13,1,False
C000095,258036.29,21503.02,39978.03,250,23161.19,M0,0,1,71796.06,75,9994.51,45,72,low,,23932.02,31070.52,26,3997.8,15,stable,12.1,6430.53,6,3,918.65,0,False
C000096,852887.07,71073.92,143543.01,584,58467.58,M0,0,0,337265.39,189,35885.75,90,100,low,,112421.8,142462.41,66,14354.3,31,stable,-9.5,38312.85,16,7,5473.26,0,True
C000097,55831.1,4652.59,13909.44,67,3446.5,M0,0,0,13179.56,16,3477.36,9,16,high,"活跃度骤降,沉睡预警",4393.19,3783.98,5,1390.94,3,stable,0.3,698.64,1,0,99.81,0,False
C000098,173397.32,14449.78,28403.35,806,9926.08,M0,0,0,46817.99,201,7100.84,90,98,low,,15606.0,14337.97,70,2840.34,31,stable,-7.2,4359.01,17,7,622.72,0,True
C000099,111911.74,9325.98,12367.51,75,7190.28,M0,0,0,32509.58,18,3091.88,10,29,medium,活跃度骤降,10836.53,11785.57,6,1236.75,3,up,24.4,2639.61,1,0,377.09,0,False
C000100,94337.09,7861.42,6570.07,131,5968.86,M0,0,0,29255.57,32,1642.52,19,35,medium,,9751.86,8397.27,11,657.01,6,up,15.3,1601.24,2,1,228.75,0,False
C000101,89581.63,7465.14,5643.0,99,10830.96,M0,0,0,27801.27,24,1410.75,14,30,medium,,9267.09,8793.11,8,564.3,4,stable,-11.2,1644.46,2,1,234.92,1,False
C000102,26649.26,2220.77,5620.18,30,3282.09,M0,0,0,1062.88,1,1405.04,0,0,high,"活跃度骤降,沉睡预警",354.29,296.02,0,562.02,0,stable,-12.9,61.54,0,0,8.79,1,False
C000103,35646.82,2970.57,7652.55,42,3762.04,M0,0,0,12450.25,10,1913.14,6,13,high,"活跃度骤降,沉睡预警",4150.08,5598.96,3,765.26,2,stable,-5.7,1147.4,0,0,163.91,0,False
C000104,17786.42,1482.2,2946.42,13,2182.69,M0,0,0,3898.55,3,736.61,1,3,high,"活跃度骤降,沉睡预警",1299.52,1258.91,1,294.64,0,stable,-16.3,227.88,0,0,32.55,1,False
C000105,41788.7,3482.39,7173.75,31,5853.35,M0,0,0,11219.01,7,1793.44,4,10,high,"活跃度骤降,沉睡预警",3739.67,4898.18,2,717.37,1,stable,13.1,1314.89,0,0,187.84,0,False
C000106,95655.05,7971.25,26521.14,220,7054.97,M1,1,0,30693.51,55,6630.29,33,49,medium,,10231.17,10692.95,19,2652.11,11,stable,11.2,3267.9,4,2,466.84,0,False
C000107,361584.5,30132.04,32861.15,510,53131.67,M0,0,0,77754.41,127,8215.29,76,93,low,,25918.14,31679.43,44,3286.11,26,up,17.3,10152.41,11,6,1450.34,0,False
C000108,454122.98,37843.58,81716.47,711,60347.65,M0,0,0,124170.39,177,20429.12,90,100,low,,41390.13,48851.51,61,8171.65,31,up,15.4,9777.28,15,7,1396.75,0,False
C000109,603658.87,50304.91,157580.69,483,65518.38,M0,0,0,104061.08,120,39395.17,72,92,low,,34687.03,31389.76,42,15758.07,25,up,21.5,7994.2,10,6,1142.03,1,True
C000110,464428.54,38702.38,131650.98,760,46778.86,M0,0,0,193569.74,228,32912.75,90,100,low,,64523.25,86656.32,79,13165.1,31,up,24.7,27536.93,19,7,3933.85,0,False
C000111,24144.64,2012.05,4157.99,22,1544.41,M0,0,0,7024.55,5,1039.5,3,7,high,"活跃度骤降,沉睡预警",2341.52,2018.78,1,415.8,1,stable,-6.5,646.99,0,0,92.43,0,False
C000112,206931.92,17244.33,19511.08,188,27689.88,M1,1,0,51616.05,47,4877.77,28,56,low,,17205.35,19343.01,16,1951.11,9,stable,-12.9,5040.62,4,2,720.09,0,False
C000113,57290.53,4774.21,5953.56,54,5121.0,M0,0,0,19357.49,16,1488.39,9,20,medium,活跃度骤降,6452.5,8805.27,5,595.36,3,up,22.1,2831.57,1,0,404.51,0,False
C000114,709134.01,59094.5,166371.56,528,64115.67,M0,0,0,220944.31,132,41592.89,79,95,low,,73648.1,89500.09,46,16637.16,27,stable,-10.6,21510.23,11,6,3072.89,0,False
C000115,343679.04,28639.92,45072.29,508,30799.58,M0,0,0,82393.17,127,11268.07,76,93,low,,27464.39,24296.45,44,4507.23,26,stable,5.3,5080.16,11,6,725.74,0,False
C000116,27086.48,2257.21,4492.93,39,3692.79,M1,1,1,840.38,1,1123.23,0,0,high,"活跃度骤降,沉睡预警",280.13,266.12,0,449.29,0,stable,5.0,62.49,0,0,8.93,0,False
C000117,11975.63,997.97,3032.79,10,1743.08,M0,0,0,1814.46,2,758.2,1,2,high,"活跃度骤降,沉睡预警",604.82,691.25,0,303.28,0,stable,-13.7,146.22,0,0,20.89,1,False
C000118,45749.73,3812.48,3447.48,55,3462.23,M0,0,0,14210.1,13,861.87,7,15,high,"活跃度骤降,沉睡预警",4736.7,5090.4,4,344.75,2,stable,8.2,1356.85,1,0,193.84,0,False
C000119,14586.72,1215.56,1389.93,13,994.0,M1,1,2,499.96,0,347.48,0,0,high,"活跃度骤降,沉睡预警",166.65,182.05,0,138.99,0,stable,10.8,58.16,0,0,8.31,0,False
C000120,4828.81,402.4,1005.78,3,531.95,M2,2,3,188.92,0,251.45,0,0,high,"活跃度骤降,沉睡预警",62.97,54.7,0,100.58,0,stable,-4.3,12.94,0,0,1.85,0,False
C000121,23819.5,1984.96,5838.91,42,3150.4,M1,1,1,805.61,2,1459.73,1,1,high,"活跃度骤降,沉睡预警",268.54,302.92,0,583.89,0,stable,2.0,79.66,0,0,11.38,0,False
C000122,371886.68,30990.56,27493.08,1611,42468.4,M0,0,0,73034.61,402,6873.27,90,100,low,,24344.87,23888.91,140,2749.31,31,stable,-3.6,5960.64,35,7,851.52,2,False
C000123,38788.87,3232.41,6091.79,34,4625.32,M1,1,0,6625.99,8,1522.95,4,8,high,"活跃度骤降,沉睡预警",2208.66,2631.25,2,609.18,1,stable,-3.0,568.68,0,0,81.24,0,False
C000124,168163.51,14013.63,22003.0,339,14377.92,M0,0,0,27498.52,84,5500.75,50,63,low,,9166.17,11358.95,29,2200.3,17,stable,11.9,2907.91,7,4,415.42,1,False
C000125,808146.35,67345.53,107685.89,755,120748.33,M0,0,0,239316.46,188,26921.47,90,100,low,,79772.15,82012.12,65,10768.59,31,up,21.4,21269.39,16,7,3038.48,1,False
C000126,31836.48,2653.04,5856.54,97,3025.65,M0,0,0,9009.16,24,1464.14,14,18,high,"活跃度骤降,沉睡预警",3003.05,3712.18,8,585.65,4,stable,-14.6,780.29,2,1,111.47,0,False
C000127,3862.39,321.87,714.5,2,394.33,M2,2,0,232.56,0,178.63,0,0,high,"活跃度骤降,沉睡预警",77.52,63.21,0,71.45,0,stable,-11.5,18.48,0,0,2.64,0,True
C000128,23577.54,1964.79,3301.66,75,3387.99,M1,1,0,1081.72,3,825.41,1,1,high,"活跃度骤降,沉睡预警",360.57,366.61,1,330.17,0,stable,-3.9,92.51,0,0,13.22,1,False
C000129,221060.91,18421.74,22576.43,156,13625.45,M2,2,0,14395.26,7,5644.11,4,12,high,"活跃度骤降,沉睡预警",4798.42,6150.98,2,2257.64,1,stable,-10.9,1805.34,0,0,257.91,0,False
C000130,25581.22,2131.77,5723.49,39,3774.79,M0,0,0,4515.21,9,1430.87,5,7,high,"活跃度骤降,沉睡预警",1505.07,1923.58,3,572.35,1,stable,-14.5,477.16,0,0,68.17,0,False
C000131,431449.51,35954.13,64573.22,1105,37429.73,M0,0,0,76380.91,276,16143.3,90,100,low,,25460.3,34161.68,96,6457.32,31,stable,-1.9,10927.41,24,7,1561.06,0,False
