cust_id,oneid,primary_intent,intent_json,intent_分期_借贷需求,intent_跨境_出行需求,intent_额度_升级需求,intent_权益_优惠需求,intent_沉睡_流失风险,intent_新户_激活引导
C000038,UID000038,额度/升级需求,"{""分期/借贷需求"": 11, ""跨境/出行需求"": 23, ""额度/升级需求"": 77, ""权益/优惠需求"": 24, ""沉睡/流失风险"": 23, ""新户/激活引导"": 12}",11,23,77,24,23,12
C000039,UID000039,额度/升级需求,"{""分期/借贷需求"": 70, ""跨境/出行需求"": 62, ""额度/升级需求"": 82, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 12, ""新户/激活引导"": 7}",70,62,82,13,12,7
C000040,UID000040,分期/借贷需求,"{""分期/借贷需求"": 71, ""跨境/出行需求"": 32, ""额度/升级需求"": 26, ""权益/优惠需求"": 54, ""沉睡/流失风险"": 21, ""新户/激活引导"": 12}",71,32,26,54,21,12
C000041,UID000041,沉睡/流失风险,"{""分期/借贷需求"": 27, ""跨境/出行需求"": 26, ""额度/升级需求"": 36, ""权益/优惠需求"": 23, ""沉睡/流失风险"": 84, ""新户/激活引导"": 9}",27,26,36,23,84,9
C000042,UID000042,额度/升级需求,"{""分期/借贷需求"": 46, ""跨境/出行需求"": 23, ""额度/升级需求"": 75, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 30, ""新户/激活引导"": 20}",46,23,75,25,30,20
C000043,UID000043,跨境/出行需求,"{""分期/借贷需求"": 36, ""跨境/出行需求"": 66, ""额度/升级需求"": 63, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 26, ""新户/激活引导"": 18}",36,66,63,16,26,18
C000044,UID000044,权益/优惠需求,"{""分期/借贷需求"": 32, ""跨境/出行需求"": 73, ""额度/升级需求"": 73, ""权益/优惠需求"": 79, ""沉睡/流失风险"": 53, ""新户/激活引导"": 25}",32,73,73,79,53,25
C000045,UID000045,分期/借贷需求,"{""分期/借贷需求"": 90, ""跨境/出行需求"": 8, ""额度/升级需求"": 61, ""权益/优惠需求"": 35, ""沉睡/流失风险"": 28, ""新户/激活引导"": 15}",90,8,61,35,28,15
C000046,UID000046,跨境/出行需求,"{""分期/借贷需求"": 16, ""跨境/出行需求"": 67, ""额度/升级需求"": 17, ""权益/优惠需求"": 22, ""沉睡/流失风险"": 22, ""新户/激活引导"": 19}",16,67,17,22,22,19
C000047,UID000047,沉睡/流失风险,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 73, ""额度/升级需求"": 16, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 79, ""新户/激活引导"": 12}",18,73,16,27,79,12
C000048,UID000048,跨境/出行需求,"{""分期/借贷需求"": 14, ""跨境/出行需求"": 74, ""额度/升级需求"": 40, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 6, ""新户/激活引导"": 25}",14,74,40,16,6,25
C000049,UID000049,跨境/出行需求,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 86, ""额度/升级需求"": 60, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 29, ""新户/激活引导"": 12}",44,86,60,15,29,12
C000050,UID000050,跨境/出行需求,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 73, ""额度/升级需求"": 36, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 11, ""新户/激活引导"": 17}",20,73,36,40,11,17
C000051,UID000051,沉睡/流失风险,"{""分期/借贷需求"": 13, ""跨境/出行需求"": 10, ""额度/升级需求"": 72, ""权益/优惠需求"": 10, ""沉睡/流失风险"": 74, ""新户/激活引导"": 13}",13,10,72,10,74,13
C000052,UID000052,额度/升级需求,"{""分期/借贷需求"": 39, ""跨境/出行需求"": 14, ""额度/升级需求"": 73, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 26, ""新户/激活引导"": 20}",39,14,73,45,26,20
C000053,UID000053,分期/借贷需求,"{""分期/借贷需求"": 74, ""跨境/出行需求"": 11, ""额度/升级需求"": 23, ""权益/优惠需求"": 23, ""沉睡/流失风险"": 53, ""新户/激活引导"": 23}",74,11,23,23,53,23
C000054,UID000054,分期/借贷需求,"{""分期/借贷需求"": 93, ""跨境/出行需求"": 22, ""额度/升级需求"": 8, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 53, ""新户/激活引导"": 6}",93,22,8,30,53,6
C000055,UID000055,分期/借贷需求,"{""分期/借贷需求"": 88, ""跨境/出行需求"": 20, ""额度/升级需求"": 76, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 10, ""新户/激活引导"": 6}",88,20,76,43,10,6
C000056,UID000056,额度/升级需求,"{""分期/借贷需求"": 42, ""跨境/出行需求"": 7, ""额度/升级需求"": 87, ""权益/优惠需求"": 61, ""沉睡/流失风险"": 7, ""新户/激活引导"": 24}",42,7,87,61,7,24
C000057,UID000057,额度/升级需求,"{""分期/借贷需求"": 14, ""跨境/出行需求"": 81, ""额度/升级需求"": 87, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 17, ""新户/激活引导"": 8}",14,81,87,25,17,8
C000058,UID000058,沉睡/流失风险,"{""分期/借贷需求"": 46, ""跨境/出行需求"": 67, ""额度/升级需求"": 78, ""权益/优惠需求"": 12, ""沉睡/流失风险"": 89, ""新户/激活引导"": 7}",46,67,78,12,89,7
C000059,UID000059,新户/激活引导,"{""分期/借贷需求"": 36, ""跨境/出行需求"": 26, ""额度/升级需求"": 78, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 70, ""新户/激活引导"": 89}",36,26,78,43,70,89
C000060,UID000060,额度/升级需求,"{""分期/借贷需求"": 78, ""跨境/出行需求"": 11, ""额度/升级需求"": 81, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 65, ""新户/激活引导"": 13}",78,11,81,30,65,13
C000061,UID000061,权益/优惠需求,"{""分期/借贷需求"": 35, ""跨境/出行需求"": 9, ""额度/升级需求"": 24, ""权益/优惠需求"": 79, ""沉睡/流失风险"": 15, ""新户/激活引导"": 7}",35,9,24,79,15,7
C000062,UID000062,额度/升级需求,"{""分期/借贷需求"": 10, ""跨境/出行需求"": 19, ""额度/升级需求"": 79, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 54, ""新户/激活引导"": 22}",10,19,79,16,54,22
C000063,UID000063,额度/升级需求,"{""分期/借贷需求"": 23, ""跨境/出行需求"": 21, ""额度/升级需求"": 68, ""权益/优惠需求"": 18, ""沉睡/流失风险"": 16, ""新户/激活引导"": 7}",23,21,68,18,16,7
C000064,UID000064,跨境/出行需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 71, ""额度/升级需求"": 69, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 19, ""新户/激活引导"": 22}",25,71,69,20,19,22
C000065,UID000065,额度/升级需求,"{""分期/借贷需求"": 29, ""跨境/出行需求"": 24, ""额度/升级需求"": 85, ""权益/优惠需求"": 83, ""沉睡/流失风险"": 50, ""新户/激活引导"": 22}",29,24,85,83,50,22
C000066,UID000066,分期/借贷需求,"{""分期/借贷需求"": 79, ""跨境/出行需求"": 34, ""额度/升级需求"": 11, ""权益/优惠需求"": 18, ""沉睡/流失风险"": 13, ""新户/激活引导"": 8}",79,34,11,18,13,8
C000067,UID000067,跨境/出行需求,"{""分期/借贷需求"": 16, ""跨境/出行需求"": 83, ""额度/升级需求"": 77, ""权益/优惠需求"": 59, ""沉睡/流失风险"": 13, ""新户/激活引导"": 14}",16,83,77,59,13,14
C000068,UID000068,分期/借贷需求,"{""分期/借贷需求"": 89, ""跨境/出行需求"": 11, ""额度/升级需求"": 82, ""权益/优惠需求"": 31, ""沉睡/流失风险"": 11, ""新户/激活引导"": 81}",89,11,82,31,11,81
C000069,UID000069,分期/借贷需求,"{""分期/借贷需求"": 90, ""跨境/出行需求"": 87, ""额度/升级需求"": 21, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 20, ""新户/激活引导"": 68}",90,87,21,42,20,68
C000070,UID000070,分期/借贷需求,"{""分期/借贷需求"": 71, ""跨境/出行需求"": 62, ""额度/升级需求"": 32, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 6, ""新户/激活引导"": 5}",71,62,32,27,6,5
C000071,UID000071,分期/借贷需求,"{""分期/借贷需求"": 80, ""跨境/出行需求"": 29, ""额度/升级需求"": 64, ""权益/优惠需求"": 26, ""沉睡/流失风险"": 10, ""新户/激活引导"": 19}",80,29,64,26,10,19
C000072,UID000072,权益/优惠需求,"{""分期/借贷需求"": 45, ""跨境/出行需求"": 27, ""额度/升级需求"": 32, ""权益/优惠需求"": 85, ""沉睡/流失风险"": 50, ""新户/激活引导"": 8}",45,27,32,85,50,8
C000073,UID000073,分期/借贷需求,"{""分期/借贷需求"": 72, ""跨境/出行需求"": 35, ""额度/升级需求"": 14, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 52, ""新户/激活引导"": 16}",72,35,14,44,52,16
C000074,UID000074,跨境/出行需求,"{""分期/借贷需求"": 47, ""跨境/出行需求"": 77, ""额度/升级需求"": 14, ""权益/优惠需求"": 77, ""沉睡/流失风险"": 58, ""新户/激活引导"": 6}",47,77,14,77,58,6
C000075,UID000075,额度/升级需求,"{""分期/借贷需求"": 29, ""跨境/出行需求"": 16, ""额度/升级需求"": 88, ""权益/优惠需求"": 12, ""沉睡/流失风险"": 16, ""新户/激活引导"": 11}",29,16,88,12,16,11
C000076,UID000076,沉睡/流失风险,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 26, ""额度/升级需求"": 11, ""权益/优惠需求"": 32, ""沉睡/流失风险"": 85, ""新户/激活引导"": 18}",25,26,11,32,85,18
C000077,UID000077,新户/激活引导,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 28, ""额度/升级需求"": 64, ""权益/优惠需求"": 65, ""沉睡/流失风险"": 10, ""新户/激活引导"": 85}",49,28,64,65,10,85
C000078,UID000078,分期/借贷需求,"{""分期/借贷需求"": 95, ""跨境/出行需求"": 10, ""额度/升级需求"": 31, ""权益/优惠需求"": 51, ""沉睡/流失风险"": 61, ""新户/激活引导"": 15}",95,10,31,51,61,15
C000079,UID000079,跨境/出行需求,"{""分期/借贷需求"": 36, ""跨境/出行需求"": 85, ""额度/升级需求"": 20, ""权益/优惠需求"": 67, ""沉睡/流失风险"": 10, ""新户/激活引导"": 8}",36,85,20,67,10,8
C000080,UID000080,权益/优惠需求,"{""分期/借贷需求"": 34, ""跨境/出行需求"": 32, ""额度/升级需求"": 7, ""权益/优惠需求"": 80, ""沉睡/流失风险"": 12, ""新户/激活引导"": 11}",34,32,7,80,12,11
C000081,UID000081,分期/借贷需求,"{""分期/借贷需求"": 39, ""跨境/出行需求"": 16, ""额度/升级需求"": 24, ""权益/优惠需求"": 24, ""沉睡/流失风险"": 12, ""新户/激活引导"": 5}",39,16,24,24,12,5
C000082,UID000082,分期/借贷需求,"{""分期/借贷需求"": 91, ""跨境/出行需求"": 11, ""额度/升级需求"": 30, ""权益/优惠需求"": 31, ""沉睡/流失风险"": 13, ""新户/激活引导"": 7}",91,11,30,31,13,7
C000083,UID000083,额度/升级需求,"{""分期/借贷需求"": 27, ""跨境/出行需求"": 16, ""额度/升级需求"": 80, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 17, ""新户/激活引导"": 22}",27,16,80,42,17,22
C000084,UID000084,跨境/出行需求,"{""分期/借贷需求"": 31, ""跨境/出行需求"": 35, ""额度/升级需求"": 6, ""权益/优惠需求"": 17, ""沉睡/流失风险"": 13, ""新户/激活引导"": 10}",31,35,6,17,13,10
C000085,UID000085,额度/升级需求,"{""分期/借贷需求"": 47, ""跨境/出行需求"": 35, ""额度/升级需求"": 68, ""权益/优惠需求"": 12, ""沉睡/流失风险"": 56, ""新户/激活引导"": 24}",47,35,68,12,56,24
C000086,UID000086,额度/升级需求,"{""分期/借贷需求"": 37, ""跨境/出行需求"": 16, ""额度/升级需求"": 83, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 77, ""新户/激活引导"": 24}",37,16,83,30,77,24
C000087,UID000087,额度/升级需求,"{""分期/借贷需求"": 42, ""跨境/出行需求"": 8, ""额度/升级需求"": 72, ""权益/优惠需求"": 22, ""沉睡/流失风险"": 66, ""新户/激活引导"": 6}",42,8,72,22,66,6
C000088,UID000088,额度/升级需求,"{""分期/借贷需求"": 37, ""跨境/出行需求"": 60, ""额度/升级需求"": 76, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 62, ""新户/激活引导"": 16}",37,60,76,44,62,16
C000089,UID000089,额度/升级需求,"{""分期/借贷需求"": 83, ""跨境/出行需求"": 7, ""额度/升级需求"": 90, ""权益/优惠需求"": 31, ""沉睡/流失风险"": 89, ""新户/激活引导"": 15}",83,7,90,31,89,15
C000090,UID000090,分期/借贷需求,"{""分期/借贷需求"": 91, ""跨境/出行需求"": 32, ""额度/升级需求"": 12, ""权益/优惠需求"": 69, ""沉睡/流失风险"": 21, ""新户/激活引导"": 14}",91,32,12,69,21,14
C000091,UID000091,沉睡/流失风险,"{""分期/借贷需求"": 36, ""跨境/出行需求"": 15, ""额度/升级需求"": 72, ""权益/优惠需求"": 68, ""沉睡/流失风险"": 85, ""新户/激活引导"": 9}",36,15,72,68,85,9
C000092,UID000092,额度/升级需求,"{""分期/借贷需求"": 22, ""跨境/出行需求"": 73, ""额度/升级需求"": 81, ""权益/优惠需求"": 34, ""沉睡/流失风险"": 61, ""新户/激活引导"": 24}",22,73,81,34,61,24
C000093,UID000093,权益/优惠需求,"{""分期/借贷需求"": 46, ""跨境/出行需求"": 14, ""额度/升级需求"": 72, ""权益/优惠需求"": 85, ""沉睡/流失风险"": 5, ""新户/激活引导"": 14}",46,14,72,85,5,14
C000094,UID000094,额度/升级需求,"{""分期/借贷需求"": 28, ""跨境/出行需求"": 11, ""额度/升级需求"": 73, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 19, ""新户/激活引导"": 19}",28,11,73,30,19,19
C000095,UID000095,新户/激活引导,"{""分期/借贷需求"": 84, ""跨境/出行需求"": 81, ""额度/升级需求"": 66, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 20, ""新户/激活引导"": 85}",84,81,66,42,20,85
C000096,UID000096,额度/升级需求,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 26, ""额度/升级需求"": 62, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 21, ""新户/激活引导"": 25}",20,26,62,28,21,25
C000097,UID000097,额度/升级需求,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 15, ""额度/升级需求"": 62, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 26, ""新户/激活引导"": 14}",49,15,62,25,26,14
C000098,UID000098,分期/借贷需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 30, ""额度/升级需求"": 17, ""权益/优惠需求"": 19, ""沉睡/流失风险"": 5, ""新户/激活引导"": 6}",77,30,17,19,5,6
C000099,UID000099,额度/升级需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 20, ""额度/升级需求"": 79, ""权益/优惠需求"": 14, ""沉睡/流失风险"": 19, ""新户/激活引导"": 18}",25,20,79,14,19,18
C000100,UID000100,跨境/出行需求,"{""分期/借贷需求"": 50, ""跨境/出行需求"": 78, ""额度/升级需求"": 66, ""权益/优惠需求"": 34, ""沉睡/流失风险"": 20, ""新户/激活引导"": 17}",50,78,66,34,20,17
C000101,UID000101,分期/借贷需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 9, ""额度/升级需求"": 5, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 29, ""新户/激活引导"": 18}",77,9,5,16,29,18
C000102,UID000102,额度/升级需求,"{""分期/借贷需求"": 24, ""跨境/出行需求"": 10, ""额度/升级需求"": 85, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 79, ""新户/激活引导"": 6}",24,10,85,43,79,6
C000103,UID000103,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 12, ""额度/升级需求"": 12, ""权益/优惠需求"": 39, ""沉睡/流失风险"": 9, ""新户/激活引导"": 19}",87,12,12,39,9,19
C000104,UID000104,额度/升级需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 22, ""额度/升级需求"": 79, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 29, ""新户/激活引导"": 19}",43,22,79,30,29,19
C000105,UID000105,权益/优惠需求,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 31, ""额度/升级需求"": 37, ""权益/优惠需求"": 77, ""沉睡/流失风险"": 22, ""新户/激活引导"": 19}",49,31,37,77,22,19
C000106,UID000106,额度/升级需求,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 28, ""额度/升级需求"": 87, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 78, ""新户/激活引导"": 13}",20,28,87,40,78,13
C000107,UID000107,权益/优惠需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 31, ""额度/升级需求"": 22, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 20, ""新户/激活引导"": 25}",25,31,22,43,20,25
C000108,UID000108,额度/升级需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 13, ""额度/升级需求"": 74, ""权益/优惠需求"": 54, ""沉睡/流失风险"": 27, ""新户/激活引导"": 14}",25,13,74,54,27,14
C000109,UID000109,额度/升级需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 68, ""额度/升级需求"": 70, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 22, ""新户/激活引导"": 7}",25,68,70,30,22,7
C000110,UID000110,分期/借贷需求,"{""分期/借贷需求"": 74, ""跨境/出行需求"": 9, ""额度/升级需求"": 67, ""权益/优惠需求"": 34, ""沉睡/流失风险"": 27, ""新户/激活引导"": 64}",74,9,67,34,27,64
C000111,UID000111,额度/升级需求,"{""分期/借贷需求"": 23, ""跨境/出行需求"": 7, ""额度/升级需求"": 73, ""权益/优惠需求"": 36, ""沉睡/流失风险"": 15, ""新户/激活引导"": 22}",23,7,73,36,15,22
C000112,UID000112,分期/借贷需求,"{""分期/借贷需求"": 84, ""跨境/出行需求"": 18, ""额度/升级需求"": 8, ""权益/优惠需求"": 23, ""沉睡/流失风险"": 18, ""新户/激活引导"": 17}",84,18,8,23,18,17
C000113,UID000113,分期/借贷需求,"{""分期/借贷需求"": 94, ""跨境/出行需求"": 23, ""额度/升级需求"": 90, ""权益/优惠需求"": 11, ""沉睡/流失风险"": 86, ""新户/激活引导"": 72}",94,23,90,11,86,72
C000114,UID000114,额度/升级需求,"{""分期/借贷需求"": 40, ""跨境/出行需求"": 60, ""额度/升级需求"": 90, ""权益/优惠需求"": 32, ""沉睡/流失风险"": 14, ""新户/激活引导"": 17}",40,60,90,32,14,17
