cust_id,oneid,age,city,income_level,lifecycle_stage,vip_tier,card_level,product_name,total_credit_amount,card_count,usage_rate,annual_consumption,monthly_avg_consumption,cons_90d,cons_30d,cons_7d,txn_count_90d,txn_count_30d,txn_count_7d,active_days_90d,active_days_30d,active_days_7d,consumption_trend,installment_contribution,overdue_status,history_overdue_count,min_payment_count,churn_risk_score,cash_advance_risk,risk_level,value_level,activity_score,dormancy_risk,significant_signals,search_keywords_7d,browse_preferences_30d,milestones,marketing_consent,personalization_consent,dnc_list,do_not_contact,blacklist_flag,push_consent,sms_consent,wechat_consent,email_consent,phone_consent,unsubscribe_channels,complaint_count_90d,data_version,generated_at
C000011,UID000011,24,广州,M,成熟期,金卡,白金卡,XX银行经典版白金信用卡,468100.0,4,0.3888,231897.62,19324.8,63308.38,28673.08,7247.11,61,21,5,36,12,3,up,8985.08,M0,0,0,0,1,low,medium,64,low,,"账单分期×2, 白金卡×5, 优惠券×5","权益商城(23%), 活动中心(25%), 还款页面(28%), 账单详情(25%)",额度首次提升|办理自动还款,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000012,UID000012,38,北京,L,成熟期,金卡,校园卡,XX银行YOUNG卡（校园版）,23500.0,4,0.4761,7465.84,622.15,1815.09,651.54,171.76,1,0,0,0,0,0,stable,248.13,M0,0,0,23,2,low,medium,1,high,"活跃度骤降, 沉睡预警","白金卡×8, 东京×6, 现金分期×6","权益商城(18%), 高端卡专区(14%), 积分兑换(23%), 信用卡申请(45%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000013,UID000013,49,深圳,M,成长期,金卡,金卡,XX银行携程旅行信用卡（金卡）,160100.0,3,0.5781,158161.61,13180.13,31883.99,14257.12,3983.38,66,23,5,39,13,3,stable,5861.64,M0,0,1,2,9,low,medium,56,low,,"现金分期×8, 年费×3, 出境游×3","高端卡专区(8%), 分期计算器(20%), 新手指引(21%), 信用卡申请(51%)",额度首次提升|办理自动还款|升级白金卡,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000014,UID000014,32,北京,M,成熟期,金卡,白金卡,XX银行经典版白金信用卡,121600.0,1,0.5588,121116.68,10093.06,38889.61,15274.6,2897.21,116,40,10,69,24,6,stable,4077.46,M0,0,0,0,2,low,medium,84,low,,"机票×6, 注销×4, 临时额度×8","高端卡专区(37%), 额度管理(5%), 境外消费专区(15%), 还款页面(43%)",,True,True,False,False,False,False,False,False,True,False,短信,0,v1.0,2026-07-17T00:00:00+08:00
C000015,UID000015,29,合肥,L,成熟期,普通,金卡,XX银行标准信用卡（金卡）,99400.0,4,0.7424,71231.28,5935.94,20331.81,7429.39,2204.15,17,5,1,10,3,0,up,7271.68,M0,0,0,0,7,low,low,21,medium,活跃度骤降,"固定额度×4, 接送机×6, 退卡×2","境外消费专区(38%), 新手指引(34%), 分期计算器(22%), 积分兑换(7%)",,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000016,UID000016,36,西安,L,成长期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,84900.0,3,0.5918,40470.53,3372.54,8304.08,2763.34,710.72,19,6,1,11,3,0,down,4625.71,M0,0,0,0,1,low,low,15,high,"活跃度骤降, 沉睡预警","12期×2, 汇率×7, 固定额度×2","境外消费专区(7%), 分期计算器(40%), 权益商城(36%), 积分兑换(17%)",额度首次提升,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000017,UID000017,28,昆明,L,成熟期,普通,金卡,XX银行标准信用卡（金卡）,80500.0,4,0.6549,46591.25,3882.6,7089.67,3084.93,687.62,8,2,0,4,1,0,up,3029.74,M0,0,0,0,0,low,low,8,high,"活跃度骤降, 沉睡预警","退卡×3, 酒店×3, 接送机×3","信用卡申请(7%), 额度管理(33%), 境外消费专区(47%), 分期计算器(13%)",额度首次提升|首次使用机场贵宾厅,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000018,UID000018,32,东莞,L,成熟期,普通,普卡,XX银行标准信用卡（普卡）,33900.0,2,0.1684,30983.74,2581.98,9366.45,3510.79,658.68,21,7,1,12,4,1,up,1328.25,M1,1,0,2,25,high,low,17,high,"活跃度骤降, 沉睡预警","贵宾厅×5, 固定额度×2, 汇率×2","额度管理(13%), 积分兑换(28%), 分期计算器(49%), 境外消费专区(10%)",年消费突破10万|额度首次提升|升级白金卡,True,True,True,True,True,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000019,UID000019,34,武汉,M,新户,白金,白金卡,XX银行全币种国际白金信用卡,251700.0,3,0.3822,182536.37,15211.36,50607.94,18472.37,5358.45,71,24,6,42,14,3,stable,9643.65,M0,0,0,0,5,low,high,69,low,,"优惠券×4, 机票×3, 销户×5","还款页面(5%), 分期计算器(38%), 权益商城(46%), 新手指引(10%)",额度首次提升,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000020,UID000020,24,青岛,M,成熟期,金卡,金卡,XX银行标准信用卡（金卡）,182100.0,4,0.517,114026.54,9502.21,31457.61,12303.3,3311.23,19,6,1,11,3,0,stable,8789.03,M0,0,0,0,4,low,medium,29,medium,,"机票×5, 注销×8, 贵宾厅×2","账单详情(20%), 额度管理(19%), 权益商城(42%), 高端卡专区(19%)",升级白金卡,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000021,UID000021,43,南京,M,成熟期,普通,金卡,XX银行携程旅行信用卡（金卡）,111200.0,2,0.8397,112994.75,9416.23,38204.24,12702.69,3974.37,75,26,6,45,15,3,stable,4164.76,M0,0,0,9,0,low,medium,65,low,,"接送机×3, 额度不够×4, 海淘×2","高端卡专区(6%), 还款页面(26%), 权益商城(47%), 积分兑换(21%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000022,UID000022,22,西安,L,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,32800.0,2,0.7219,7139.72,594.98,2498.5,1135.05,329.56,1,0,0,0,0,0,stable,736.54,M0,0,0,0,8,low,low,1,high,"活跃度骤降, 沉睡预警","免息分期×6, 投诉×3, 提额×6","分期计算器(45%), 账单详情(11%), 新手指引(26%), 还款页面(18%)",年消费突破10万,True,False,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000023,UID000023,21,西安,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,3200.0,2,0.1852,29663.54,2471.96,9147.15,3374.3,803.35,5,1,0,3,1,0,stable,1125.93,M0,0,0,3,5,low,medium,8,high,"活跃度骤降, 沉睡预警","5折×6, 手续费×2, 临时额度×2","额度管理(24%), 高端卡专区(36%), 还款页面(24%), 积分兑换(17%)",升级白金卡,True,True,False,False,False,False,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000024,UID000024,36,成都,H,成熟期,白金,钻石卡,XX银行银联钻石信用卡,510500.0,2,0.5106,1072463.65,89371.97,266424.91,79722.68,25671.09,685,239,59,90,31,7,stable,121609.75,M1,1,3,0,29,high,high,100,low,,"免税×5, 额度不够×7, 最低还款×4","信用卡申请(30%), 积分兑换(54%), 分期计算器(6%), 权益商城(9%)",首投投诉|升级白金卡,True,True,False,True,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000025,UID000025,42,南京,M,成长期,普通,金卡,XX银行YOUNG卡（青年版）,69000.0,4,0.2292,114141.02,9511.75,32822.14,14204.95,3189.22,40,14,3,24,8,2,up,8914.2,M0,0,0,5,4,low,medium,42,medium,,"投诉×3, 手续费×4, 优惠券×4","分期计算器(40%), 境外消费专区(27%), 积分兑换(13%), 活动中心(20%)",首笔分期办理|年消费突破10万,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000026,UID000026,36,苏州,L,成长期,普通,校园卡,XX银行YOUNG卡（校园版）,77000.0,4,0.8397,14686.07,1223.84,3372.08,1312.76,377.34,16,5,1,9,3,0,stable,635.86,M0,0,1,0,9,low,low,10,high,"活跃度骤降, 沉睡预警","投诉×2, 固定额度×8, 星巴克×7","分期计算器(11%), 账单详情(21%), 活动中心(53%), 新手指引(15%)",额度首次提升|首次使用机场贵宾厅,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000027,UID000027,28,福州,L,成熟期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,33400.0,2,0.2749,45059.07,3754.92,13476.62,4523.41,984.14,12,4,1,7,2,0,up,3731.6,M0,0,0,0,9,low,medium,14,high,"活跃度骤降, 沉睡预警","年费×6, 海淘×7, 电影票×3","新手指引(29%), 活动中心(37%), 还款页面(5%), 信用卡申请(29%)",,False,True,False,False,False,True,True,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000028,UID000028,31,北京,M,成熟期,白金,白金卡,XX银行银联白金信用卡,207900.0,1,0.3138,64961.55,5413.46,17227.78,7539.79,2422.23,10,3,0,6,2,0,up,7190.91,M0,0,1,7,6,low,high,16,high,"活跃度骤降, 沉睡预警","固定额度×5, 现金分期×4, 积分兑换×2","积分兑换(35%), 账单详情(11%), 活动中心(2%), 高端卡专区(53%)",首投投诉|升级白金卡|首次使用机场贵宾厅,False,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000029,UID000029,30,成都,M,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,38500.0,1,0.6522,84270.17,7022.51,18313.67,5003.79,1618.7,23,8,2,13,4,1,up,2921.15,M0,0,0,0,5,low,medium,23,medium,活跃度骤降,"里程×7, 12期×6, 销户×8","积分兑换(30%), 高端卡专区(9%), 还款页面(22%), 账单详情(39%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000030,UID000030,45,成都,M,成熟期,金卡,金卡,XX银行YOUNG卡（青年版）,107000.0,4,0.8238,80357.67,6696.47,24613.79,10309.92,3040.71,17,5,1,10,3,0,stable,2758.56,M0,0,0,0,8,low,medium,24,medium,活跃度骤降,"星巴克×4, 出境游×4, 12期×7","境外消费专区(16%), 分期计算器(31%), 积分兑换(18%), 额度管理(35%)",首笔分期办理,True,False,False,False,False,True,True,False,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000031,UID000031,38,西安,H,成长期,白金,白金卡,XX银行经典版白金信用卡,597600.0,2,0.5681,783480.22,65290.02,279938.95,75457.15,20309.76,280,98,24,90,31,7,down,87422.67,M0,0,0,4,0,low,high,100,low,,"境外取现×2, 注销×7, 账单分期×8","额度管理(11%), 境外消费专区(17%), 活动中心(46%), 账单详情(25%)",,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000032,UID000032,31,宁波,L,沉睡期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,35500.0,2,0.1251,5991.5,499.29,324.49,113.73,28.2,0,0,0,0,0,0,stable,426.18,M1,1,2,72,26,high,medium,0,high,"活跃度骤降, 沉睡预警","现金分期×5, 5折×3, 退卡×4","活动中心(33%), 境外消费专区(9%), 高端卡专区(39%), 权益商城(19%)",年消费突破10万|首投投诉|首笔分期办理,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000033,UID000033,28,南京,H,新户,钻石,钻石卡,XX银行银联钻石信用卡,634300.0,4,0.4177,978468.1,81539.01,395015.78,143658.54,45018.98,1313,459,114,90,31,7,stable,106155.13,M0,0,0,15,9,low,high,100,low,,"白金卡×7, 手续费×5, 酒店×4","权益商城(9%), 分期计算器(26%), 活动中心(52%), 账单详情(12%)",升级白金卡,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000034,UID000034,41,上海,H,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,34600.0,1,0.7292,399897.56,33324.8,124196.46,30548.94,7170.61,368,128,32,90,31,7,stable,24060.94,M0,0,1,9,5,low,high,100,low,,"免息分期×4, 年费×5, 临时额度×6","分期计算器(27%), 额度管理(16%), 境外消费专区(12%), 活动中心(45%)",,False,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000035,UID000035,45,广州,L,成熟期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,83000.0,4,0.4142,23179.83,1931.65,6060.62,2580.21,522.93,3,1,0,1,0,0,stable,1652.93,M1,1,0,6,5,low,low,4,high,"活跃度骤降, 沉睡预警","手续费×8, 5折×4, 退卡×2","新手指引(11%), 积分兑换(10%), 高端卡专区(18%), 分期计算器(61%)",,True,False,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000036,UID000036,44,广州,M,成长期,白金,白金卡,XX银行全币种国际白金信用卡,324800.0,3,0.3205,190950.6,15912.55,80020.57,35503.87,7655.05,154,53,13,90,31,7,stable,8855.05,M0,0,0,0,5,low,high,100,low,,"钻石卡×4, 退卡×7, 星巴克×6","账单详情(5%), 境外消费专区(40%), 额度管理(25%), 还款页面(30%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000037,UID000037,26,沈阳,M,沉睡期,白金,白金卡,XX银行全币种国际白金信用卡,101300.0,1,0.1781,40454.2,3371.18,2519.24,1126.5,220.98,1,0,0,0,0,0,down,3409.79,M2,2,0,71,0,high,high,1,high,"活跃度骤降, 沉睡预警, 逾期预警","酒店×8, 提额×4, 年费×3","额度管理(5%), 高端卡专区(12%), 积分兑换(45%), 信用卡申请(38%)",首投投诉,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000038,UID000038,31,天津,M,成熟期,白金,白金卡,XX银行经典版白金信用卡,252200.0,3,0.5686,143160.45,11930.04,33961.28,10420.61,3017.19,48,16,4,28,9,2,down,11407.63,M0,0,0,2,2,low,high,47,medium,,"接送机×8, 东京×7, 提额×4","还款页面(24%), 高端卡专区(12%), 积分兑换(45%), 分期计算器(19%)",年消费突破10万|首次使用机场贵宾厅,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000039,UID000039,30,广州,H,成熟期,白金,白金卡,XX银行银联白金信用卡,315300.0,4,0.2288,704855.91,58737.99,175856.6,69681.87,13657.84,613,214,53,90,31,7,up,46853.41,M0,0,0,0,1,low,high,100,low,,"额度不够×2, 出境游×3, 免息分期×6","分期计算器(8%), 信用卡申请(8%), 额度管理(16%), 境外消费专区(69%)",办理自动还款,True,True,False,False,False,True,False,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000040,UID000040,33,西安,H,成熟期,金卡,白金卡,XX银行全币种国际白金信用卡,429100.0,4,0.3654,470600.59,39216.72,138266.77,42502.59,10472.96,204,71,17,90,31,7,stable,29182.2,M1,1,0,29,4,low,high,100,low,,"优惠券×7, 销户×8, 现金分期×8","分期计算器(33%), 额度管理(27%), 境外消费专区(14%), 账单详情(26%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000041,UID000041,43,杭州,L,成熟期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,113400.0,4,0.1564,28157.14,2346.43,5756.14,2123.72,400.82,5,1,0,3,1,0,stable,2605.17,M0,0,0,4,7,low,medium,6,high,"活跃度骤降, 沉睡预警","投诉×3, 里程×5, 12期×8","信用卡申请(18%), 还款页面(29%), 高端卡专区(25%), 积分兑换(29%)",首投投诉,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000042,UID000042,48,成都,H,成熟期,白金,白金卡,XX银行银联白金信用卡,260200.0,2,0.4671,396588.16,33049.01,132102.59,33306.85,7314.26,228,79,19,90,31,7,stable,32169.28,M0,0,1,0,9,low,high,100,low,,"退卡×3, 接送机×5, 白金卡×8","境外消费专区(19%), 活动中心(31%), 还款页面(37%), 信用卡申请(13%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000043,UID000043,38,天津,M,成熟期,金卡,白金卡,XX银行银联白金信用卡,451700.0,2,0.6222,151434.71,12619.56,49548.76,18547.65,3313.73,61,21,5,36,12,3,up,13073.39,M0,0,0,9,6,low,medium,64,low,,"汇率×7, 白金卡×3, 年费×4","积分兑换(17%), 还款页面(33%), 分期计算器(10%), 账单详情(40%)",首笔分期办理|额度首次提升,True,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000044,UID000044,28,西安,H,沉睡期,白金,白金卡,XX银行经典版白金信用卡,642600.0,4,0.4133,55101.88,4591.82,2951.5,894.97,162.67,2,0,0,1,0,0,stable,5201.61,M1,1,2,67,29,medium,high,2,high,"活跃度骤降, 沉睡预警","5折×2, 境外取现×5, 白金卡×6","信用卡申请(23%), 额度管理(13%), 权益商城(16%), 境外消费专区(49%)",办理自动还款|年消费突破10万,True,True,False,False,False,False,True,False,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000045,UID000045,34,西安,M,成熟期,金卡,金卡,XX银行标准信用卡（金卡）,95400.0,2,0.8419,176261.91,14688.49,32662.32,9514.6,2777.67,50,17,4,30,10,2,up,8947.1,M0,0,0,27,7,low,medium,47,medium,,"退卡×5, 分期费率×4, 白金卡×8","额度管理(25%), 新手指引(33%), 还款页面(28%), 境外消费专区(13%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000046,UID000046,50,宁波,H,成熟期,白金,白金卡,XX银行全币种国际白金信用卡,238900.0,1,0.2679,498863.34,41571.95,170177.4,72503.54,19814.22,338,118,29,90,31,7,stable,54868.65,M0,0,0,20,4,low,high,100,low,,"贵宾厅×5, 出境游×5, 年费×7","新手指引(12%), 额度管理(28%), 账单详情(48%), 信用卡申请(11%)",,True,False,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000047,UID000047,35,武汉,L,成熟期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,30800.0,3,0.7384,40811.14,3400.93,13293.25,5482.93,1659.06,10,3,0,6,2,0,stable,2205.13,M0,0,0,37,2,low,medium,13,high,"活跃度骤降, 沉睡预警","出境游×2, 最低还款×5, 注销×8","信用卡申请(17%), 账单详情(22%), 权益商城(26%), 活动中心(35%)",办理自动还款|首笔分期办理,True,True,False,False,False,True,True,False,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000048,UID000048,32,深圳,M,成熟期,金卡,校园卡,XX银行YOUNG卡（校园版）,90800.0,3,0.7194,26562.7,2213.56,5509.31,2063.54,556.68,7,2,0,4,1,0,down,812.15,M0,0,0,0,6,low,medium,7,high,"活跃度骤降, 沉睡预警","签证×8, 贵宾厅×4, 退卡×4","分期计算器(43%), 信用卡申请(7%), 权益商城(31%), 还款页面(18%)",,True,True,False,False,False,True,False,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000049,UID000049,32,北京,M,成熟期,金卡,金卡,XX银行标准信用卡（金卡）,156600.0,4,0.1769,116119.01,9676.58,18762.98,4891.24,1582.43,25,8,2,15,5,1,stable,8432.75,M1,1,0,6,1,low,medium,25,medium,,"提额×8, 出境游×8, 销户×3","境外消费专区(11%), 权益商城(62%), 账单详情(11%), 新手指引(16%)",首笔分期办理|年消费突破10万,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000050,UID000050,38,广州,M,成熟期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,127900.0,2,0.2192,78267.89,6522.32,13029.74,5054.3,1091.67,17,5,1,10,3,0,stable,3903.16,M0,0,1,4,2,low,medium,17,high,"活跃度骤降, 沉睡预警","最低还款×4, 签证×3, 里程×8","账单详情(41%), 活动中心(24%), 分期计算器(14%), 权益商城(21%)",,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000051,UID000051,26,广州,L,沉睡期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,176700.0,3,0.7483,3985.28,332.11,122.41,50.47,15.74,0,0,0,0,0,0,stable,309.78,M1,1,3,59,13,medium,medium,0,high,"活跃度骤降, 沉睡预警","固定额度×3, 里程×6, 海淘×2","活动中心(48%), 高端卡专区(32%), 分期计算器(10%), 权益商城(9%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000052,UID000052,29,成都,M,成熟期,白金,白金卡,XX银行经典版白金信用卡,333900.0,2,0.3444,59883.19,4990.27,12475.62,4877.29,1424.06,18,6,1,10,3,0,stable,5030.3,M0,0,0,3,0,low,high,17,high,"活跃度骤降, 沉睡预警","白金卡×2, 电影票×2, 退卡×8","信用卡申请(39%), 分期计算器(11%), 额度管理(25%), 积分兑换(25%)",首投投诉|首次使用机场贵宾厅,True,True,False,False,False,True,False,False,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000053,UID000053,44,杭州,M,沉睡期,普通,校园卡,XX银行YOUNG卡（校园版）,57400.0,4,0.3448,4747.74,395.65,180.58,70.53,12.78,0,0,0,0,0,0,stable,560.1,M1,1,0,58,12,medium,medium,0,high,"活跃度骤降, 沉睡预警","酒店×7, 星巴克×6, 现金分期×6","信用卡申请(7%), 新手指引(25%), 额度管理(39%), 活动中心(28%)",首次使用机场贵宾厅,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000054,UID000054,38,大连,H,成长期,白金,白金卡,XX银行经典版白金信用卡,284900.0,1,0.4633,866100.87,72175.07,187271.62,48255.02,9599.45,318,111,27,90,31,7,up,83009.76,M0,0,0,0,5,low,high,100,low,,"机票×3, 现金分期×5, 投诉×6","新手指引(12%), 额度管理(5%), 积分兑换(9%), 权益商城(74%)",,True,True,False,False,False,True,False,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
