contact_id,cust_id,campaign_id,channel,contact_time,contact_type,status,response_time_sec
CONTACT_00000023,C002060,,电话外呼,2026-06-12 01:00:00,service,unsubscribed,0
CONTACT_00000024,C000939,CAMP_2026_FAMILY,电话外呼,2026-06-03 14:00:00,marketing,opened,14681
CONTACT_00000025,C002405,CAMP_2026_WEDDING5,邮件,2026-07-03 01:00:00,marketing,unsubscribed,0
CONTACT_00000026,C007175,,微信公众号,2026-06-26 08:00:00,service,sent,0
CONTACT_00000027,C007477,,APP Push,2026-07-15 04:00:00,service,clicked,66600
CONTACT_00000028,C004989,CAMP_2026_UPGRADE,短信,2026-05-07 07:00:00,marketing,opened,69574
CONTACT_00000029,C007525,CAMP_2026_618,APP Push,2026-07-16 21:00:00,marketing,clicked,47636
CONTACT_00000030,C007199,CAMP_2026_NEWUSER,微信公众号,2026-07-08 06:00:00,marketing,clicked,10382
CONTACT_00000031,C000702,CAMP_2026_CLOUD_FLASH,邮件,2026-07-11 07:00:00,marketing,sent,0
CONTACT_00000032,C006274,CAMP_2026_CROSSBORDER,短信,2026-07-15 07:00:00,marketing,clicked,21703
CONTACT_00000033,C002172,,电话外呼,2026-06-19 18:00:00,service,opened,70746
CONTACT_00000034,C006188,CAMP_2026_618,短信,2026-07-08 03:00:00,marketing,clicked,85240
CONTACT_00000035,C003060,,邮件,2026-07-02 17:00:00,service,opened,29511
CONTACT_00000036,C000525,CAMP_2026_618,微信公众号,2026-06-26 06:00:00,marketing,opened,28924
CONTACT_00000037,C000059,CAMP_2026_BACK_SCHOOL,APP Push,2026-07-08 22:00:00,marketing,clicked,4177
CONTACT_00000038,C001950,CAMP_2026_REFERRAL,微信公众号,2026-06-25 20:00:00,marketing,clicked,74907
CONTACT_00000039,C006428,CAMP_2026_FAMILY,邮件,2026-04-18 21:00:00,marketing,clicked,56558
CONTACT_00000040,C003826,CAMP_2026_POINTS_BOOST,APP Push,2026-04-18 21:00:00,marketing,sent,0
CONTACT_00000041,C000497,CAMP_2026_NYE,邮件,2026-07-04 21:00:00,marketing,opened,32651
CONTACT_00000042,C001570,CAMP_2026_MOVIE9,短信,2026-06-17 19:00:00,marketing,clicked,36569
CONTACT_00000043,C007564,CAMP_2026_REFERRAL,APP Push,2026-06-27 07:00:00,marketing,opened,12893
CONTACT_00000044,C000415,CAMP_2026_APPLEPAY,电话外呼,2026-05-18 17:00:00,marketing,sent,0
CONTACT_00000045,C001363,CAMP_2026_UPGRADE,邮件,2026-07-15 12:00:00,marketing,clicked,7745
CONTACT_00000046,C003199,,微信公众号,2026-06-06 15:00:00,service,sent,0
CONTACT_00000047,C003466,CAMP_2026_GREEN,电话外呼,2026-06-09 18:00:00,marketing,clicked,38950
CONTACT_00000048,C001784,CAMP_2026_CLOUD_FLASH,APP Push,2026-07-11 01:00:00,marketing,clicked,41164
CONTACT_00000049,C000469,CAMP_2026_CROSSBORDER,APP Push,2026-07-05 08:00:00,marketing,opened,20695
CONTACT_00000050,C000466,CAMP_2026_NEWUSER,电话外呼,2026-07-10 05:00:00,marketing,clicked,8967
CONTACT_00000051,C007714,CAMP_2026_SUMMER,电话外呼,2026-06-16 05:00:00,marketing,sent,0
CONTACT_00000052,C000672,CAMP_2026_GREEN,邮件,2026-06-26 14:00:00,marketing,clicked,34239
CONTACT_00000053,C001674,CAMP_2026_WEDDING5,微信公众号,2026-07-16 03:00:00,marketing,clicked,84667
CONTACT_00000054,C002458,CAMP_2026_POINTS_BOOST,邮件,2026-06-21 22:00:00,marketing,clicked,1280
CONTACT_00000055,C003755,,电话外呼,2026-05-08 22:00:00,service,sent,0
CONTACT_00000056,C004405,CAMP_2026_BIRTHDAY,短信,2026-06-17 13:00:00,marketing,clicked,9076
CONTACT_00000057,C001293,CAMP_2026_GREEN,邮件,2026-06-21 05:00:00,marketing,opened,85777
CONTACT_00000058,C004334,CAMP_2026_NEWUSER,APP Push,2026-06-17 03:00:00,marketing,opened,13637
CONTACT_00000059,C007692,CAMP_2026_MOVIE9,短信,2026-07-07 01:00:00,marketing,opened,72572
CONTACT_00000060,C001274,CAMP_2026_AI_TOKEN,微信公众号,2026-06-22 14:00:00,marketing,clicked,26745
CONTACT_00000061,C005632,CAMP_2026_NATIONAL,微信公众号,2026-06-18 23:00:00,marketing,clicked,12157
CONTACT_00000062,C002267,CAMP_2026_AI_TOKEN,APP Push,2026-07-10 04:00:00,marketing,sent,0
CONTACT_00000063,C002146,CAMP_2026_NYE,短信,2026-07-01 11:00:00,marketing,sent,0
CONTACT_00000064,C004595,CAMP_2026_SUMMER,APP Push,2026-06-13 02:00:00,marketing,sent,0
CONTACT_00000065,C007405,CAMP_2026_CROSSBORDER,短信,2026-06-19 06:00:00,marketing,clicked,72480
CONTACT_00000066,C001214,CAMP_2026_DOUBLE11,邮件,2026-04-26 23:00:00,marketing,clicked,46958
CONTACT_00000067,C005464,CAMP_2026_SUMMER,APP Push,2026-07-13 11:00:00,marketing,clicked,81411
CONTACT_00000068,C006140,,短信,2026-04-18 19:00:00,service,clicked,23266
CONTACT_00000069,C007221,CAMP_2026_MOVIE9,邮件,2026-05-29 14:00:00,marketing,sent,0
CONTACT_00000070,C006410,CAMP_2026_BACK_SCHOOL,邮件,2026-07-07 17:00:00,marketing,sent,0
CONTACT_00000071,C002186,CAMP_2026_BIRTHDAY,短信,2026-06-07 23:00:00,marketing,unsubscribed,0
CONTACT_00000072,C007034,CAMP_2026_APPLEPAY,邮件,2026-07-01 10:00:00,marketing,opened,45890
CONTACT_00000073,C002501,CAMP_2026_DORMANT,短信,2026-07-16 12:00:00,marketing,sent,0
CONTACT_00000074,C002690,,微信公众号,2026-06-03 16:00:00,service,sent,0
CONTACT_00000075,C002877,CAMP_2026_MOVIE9,电话外呼,2026-05-21 07:00:00,marketing,sent,0
CONTACT_00000076,C002713,CAMP_2026_DOUBLE11,APP Push,2026-07-15 19:00:00,marketing,opened,76159
CONTACT_00000077,C007886,CAMP_2026_AI_TOKEN,微信公众号,2026-06-13 13:00:00,marketing,opened,41174
CONTACT_00000078,C003575,CAMP_2026_CROSSBORDER,电话外呼,2026-07-01 06:00:00,marketing,clicked,24974
CONTACT_00000079,C003573,CAMP_2026_CLOUD_FLASH,APP Push,2026-06-25 03:00:00,marketing,sent,0
CONTACT_00000080,C005894,CAMP_2026_CAMPUS,短信,2026-07-02 03:00:00,marketing,unsubscribed,0
CONTACT_00000081,C007543,CAMP_2026_GREEN,微信公众号,2026-07-13 21:00:00,marketing,clicked,39423
CONTACT_00000082,C004155,CAMP_2026_UPGRADE,微信公众号,2026-05-27 02:00:00,marketing,opened,38812
CONTACT_00000083,C004542,CAMP_2026_GREEN,短信,2026-05-05 12:00:00,marketing,sent,0
CONTACT_00000084,C005549,CAMP_2026_SUMMER,短信,2026-06-23 07:00:00,marketing,clicked,113
CONTACT_00000085,C002490,CAMP_2026_UPGRADE,微信公众号,2026-06-04 05:00:00,marketing,opened,85873
CONTACT_00000086,C002640,CAMP_2026_REFERRAL,邮件,2026-06-19 08:00:00,marketing,sent,0
CONTACT_00000087,C003877,CAMP_2026_APPLEPAY,短信,2026-06-12 03:00:00,marketing,clicked,83020
CONTACT_00000088,C006705,CAMP_2026_SPORTS,短信,2026-06-27 18:00:00,marketing,clicked,19373
CONTACT_00000089,C003893,CAMP_2026_SPRINGFEST,电话外呼,2026-06-04 11:00:00,marketing,clicked,82604
CONTACT_00000090,C005705,CAMP_2026_SPRING_TRAVEL,邮件,2026-07-03 04:00:00,marketing,clicked,786
CONTACT_00000091,C007313,CAMP_2026_CAMPUS,APP Push,2026-07-09 02:00:00,marketing,clicked,67949
CONTACT_00000092,C002042,CAMP_2026_WEDDING5,APP Push,2026-06-24 03:00:00,marketing,sent,0
CONTACT_00000093,C004352,CAMP_2026_BACK_SCHOOL,电话外呼,2026-07-11 10:00:00,marketing,opened,80361
CONTACT_00000094,C006677,CAMP_2026_POINTS_BOOST,电话外呼,2026-07-04 10:00:00,marketing,sent,0
CONTACT_00000095,C007350,CAMP_2026_SPRINGFEST,短信,2026-07-16 16:00:00,marketing,clicked,32466
CONTACT_00000096,C006881,CAMP_2026_GREEN,微信公众号,2026-05-30 04:00:00,marketing,opened,31418
CONTACT_00000097,C002250,CAMP_2026_POINTS_BOOST,邮件,2026-07-06 16:00:00,marketing,clicked,44080
CONTACT_00000098,C000661,CAMP_2026_CLOUD_FLASH,短信,2026-06-29 20:00:00,marketing,clicked,28103
CONTACT_00000099,C000527,CAMP_2026_NYE,邮件,2026-07-15 11:00:00,marketing,clicked,8221
CONTACT_00000100,C001695,CAMP_2026_SPRING_TRAVEL,邮件,2026-06-14 02:00:00,marketing,sent,0
CONTACT_00000101,C000161,CAMP_2026_CLOUD_FLASH,电话外呼,2026-07-10 13:00:00,marketing,unsubscribed,0
CONTACT_00000102,C002447,,邮件,2026-06-23 11:00:00,service,sent,0
CONTACT_00000103,C004410,CAMP_2026_CLOUD_FLASH,电话外呼,2026-06-21 09:00:00,marketing,clicked,28820
CONTACT_00000104,C002236,CAMP_2026_BACK_SCHOOL,邮件,2026-07-06 03:00:00,marketing,clicked,53054
CONTACT_00000105,C003829,CAMP_2026_FAMILY,短信,2026-07-13 12:00:00,marketing,clicked,77640
CONTACT_00000106,C000688,CAMP_2026_FAMILY,邮件,2026-07-02 23:00:00,marketing,clicked,34159
CONTACT_00000107,C003106,CAMP_2026_FAMILY,微信公众号,2026-05-31 12:00:00,marketing,opened,36531
CONTACT_00000108,C006161,CAMP_2026_NATIONAL,邮件,2026-06-30 00:00:00,marketing,unsubscribed,0
CONTACT_00000109,C006137,CAMP_2026_REFERRAL,电话外呼,2026-06-13 17:00:00,marketing,sent,0
CONTACT_00000110,C005326,CAMP_2026_618,APP Push,2026-05-26 00:00:00,marketing,clicked,32471
CONTACT_00000111,C001634,CAMP_2026_DOUBLE11,APP Push,2026-06-30 09:00:00,marketing,clicked,15053
CONTACT_00000112,C003810,CAMP_2026_CROSSBORDER,微信公众号,2026-06-13 05:00:00,marketing,clicked,15072
CONTACT_00000113,C000886,CAMP_2026_BIRTHDAY,电话外呼,2026-07-12 03:00:00,marketing,clicked,49252
CONTACT_00000114,C001625,CAMP_2026_POINTS_BOOST,APP Push,2026-05-19 17:00:00,marketing,sent,0
CONTACT_00000115,C000835,,微信公众号,2026-07-12 21:00:00,service,sent,0
CONTACT_00000116,C006523,CAMP_2026_SPRINGFEST,电话外呼,2026-06-29 11:00:00,marketing,clicked,48631
CONTACT_00000117,C000565,CAMP_2026_MOVIE9,电话外呼,2026-06-14 11:00:00,marketing,unsubscribed,0
CONTACT_00000118,C006737,CAMP_2026_NEWUSER,邮件,2026-07-08 04:00:00,marketing,sent,0
CONTACT_00000119,C007304,CAMP_2026_WEDDING5,邮件,2026-06-10 01:00:00,marketing,opened,68446
CONTACT_00000120,C007910,CAMP_2026_REFERRAL,微信公众号,2026-07-08 09:00:00,marketing,sent,0
CONTACT_00000121,C003809,CAMP_2026_CROSSBORDER,邮件,2026-07-11 14:00:00,marketing,clicked,32237
CONTACT_00000122,C006806,CAMP_2026_BIRTHDAY,APP Push,2026-07-13 10:00:00,marketing,opened,74751
CONTACT_00000123,C005000,CAMP_2026_CLOUD_FLASH,邮件,2026-07-09 14:00:00,marketing,clicked,23894
CONTACT_00000124,C003995,CAMP_2026_WOMEN,短信,2026-07-12 16:00:00,marketing,clicked,78199
CONTACT_00000125,C005745,CAMP_2026_BIRTHDAY,微信公众号,2026-06-19 18:00:00,marketing,clicked,11281
CONTACT_00000126,C001978,CAMP_2026_AI_TOKEN,邮件,2026-06-11 02:00:00,marketing,sent,0
CONTACT_00000127,C003901,CAMP_2026_WOMEN,邮件,2026-07-08 15:00:00,marketing,clicked,29105
CONTACT_00000128,C002509,CAMP_2026_SUMMER,电话外呼,2026-07-13 13:00:00,marketing,opened,55831
CONTACT_00000129,C006111,CAMP_2026_CROSSBORDER,电话外呼,2026-06-21 16:00:00,marketing,sent,0
CONTACT_00000130,C002512,CAMP_2026_SPORTS,微信公众号,2026-07-01 14:00:00,marketing,sent,0
CONTACT_00000131,C000980,,电话外呼,2026-06-06 18:00:00,service,opened,28421
CONTACT_00000132,C006051,CAMP_2026_DOUBLE11,邮件,2026-07-08 08:00:00,marketing,clicked,78282
CONTACT_00000133,C002319,CAMP_2026_DOUBLE11,APP Push,2026-06-23 13:00:00,marketing,clicked,23579
CONTACT_00000134,C004376,CAMP_2026_CROSSBORDER,短信,2026-06-24 07:00:00,marketing,sent,0
CONTACT_00000135,C002394,CAMP_2026_POINTS_BOOST,短信,2026-06-26 21:00:00,marketing,opened,1667
CONTACT_00000136,C004703,CAMP_2026_REFERRAL,微信公众号,2026-06-24 19:00:00,marketing,opened,6794
CONTACT_00000137,C002069,CAMP_2026_WEDDING5,邮件,2026-07-14 09:00:00,marketing,unsubscribed,0
CONTACT_00000138,C000607,CAMP_2026_WEDDING5,电话外呼,2026-07-05 20:00:00,marketing,clicked,73832
CONTACT_00000139,C002034,CAMP_2026_SPORTS,APP Push,2026-06-02 05:00:00,marketing,clicked,81117
CONTACT_00000140,C001849,CAMP_2026_SUMMER,电话外呼,2026-04-18 15:00:00,marketing,sent,0
CONTACT_00000141,C007047,,电话外呼,2026-07-13 05:00:00,service,clicked,7954
CONTACT_00000142,C004995,,APP Push,2026-06-25 18:00:00,service,clicked,34747
CONTACT_00000143,C005411,CAMP_2026_DOUBLE11,APP Push,2026-04-19 22:00:00,marketing,clicked,20577
CONTACT_00000144,C005648,CAMP_2026_DORMANT,电话外呼,2026-07-16 15:00:00,marketing,unsubscribed,0
CONTACT_00000145,C005792,CAMP_2026_REFERRAL,微信公众号,2026-07-07 03:00:00,marketing,opened,30655
CONTACT_00000146,C007569,CAMP_2026_CROSSBORDER,微信公众号,2026-06-06 03:00:00,marketing,sent,0
CONTACT_00000147,C006586,CAMP_2026_SPRING_TRAVEL,短信,2026-06-21 04:00:00,marketing,clicked,19588
CONTACT_00000148,C007442,CAMP_2026_SPRINGFEST,微信公众号,2026-06-15 19:00:00,marketing,clicked,40379
CONTACT_00000149,C004663,CAMP_2026_BACK_SCHOOL,微信公众号,2026-05-06 15:00:00,marketing,clicked,52817
CONTACT_00000150,C007723,CAMP_2026_DOUBLE11,微信公众号,2026-06-18 22:00:00,marketing,clicked,78445
CONTACT_00000151,C000327,CAMP_2026_CROSSBORDER,邮件,2026-07-12 00:00:00,marketing,opened,12030
CONTACT_00000152,C001876,CAMP_2026_FAMILY,电话外呼,2026-07-15 03:00:00,marketing,unsubscribed,0
CONTACT_00000153,C006730,CAMP_2026_CAMPUS,微信公众号,2026-07-16 19:00:00,marketing,opened,61729
CONTACT_00000154,C004252,CAMP_2026_CAMPUS,邮件,2026-07-02 06:00:00,marketing,clicked,57192
CONTACT_00000155,C003851,CAMP_2026_SUMMER,微信公众号,2026-05-20 21:00:00,marketing,opened,21139
CONTACT_00000156,C002702,CAMP_2026_BACK_SCHOOL,邮件,2026-06-22 12:00:00,marketing,clicked,72162
CONTACT_00000157,C002577,CAMP_2026_DOUBLE11,微信公众号,2026-06-17 12:00:00,marketing,sent,0
CONTACT_00000158,C007086,CAMP_2026_FAMILY,电话外呼,2026-07-02 07:00:00,marketing,unsubscribed,0
CONTACT_00000159,C003785,CAMP_2026_NYE,邮件,2026-07-09 05:00:00,marketing,clicked,65398
CONTACT_00000160,C005124,CAMP_2026_CAMPUS,邮件,2026-07-01 07:00:00,marketing,clicked,17232
CONTACT_00000161,C005721,CAMP_2026_FAMILY,邮件,2026-06-30 05:00:00,marketing,sent,0
CONTACT_00000162,C006548,CAMP_2026_618,短信,2026-07-05 00:00:00,marketing,clicked,72444
CONTACT_00000163,C003343,CAMP_2026_SPRINGFEST,APP Push,2026-07-02 21:00:00,marketing,sent,0
CONTACT_00000164,C003781,CAMP_2026_CLOUD_FLASH,APP Push,2026-07-11 02:00:00,marketing,clicked,38314
CONTACT_00000165,C003404,,邮件,2026-06-27 07:00:00,service,clicked,19018
CONTACT_00000166,C003143,,短信,2026-06-19 20:00:00,service,clicked,9210
CONTACT_00000167,C002264,CAMP_2026_GREEN,邮件,2026-06-16 16:00:00,marketing,sent,0
CONTACT_00000168,C006722,CAMP_2026_MOVIE9,APP Push,2026-07-12 06:00:00,marketing,clicked,76071
CONTACT_00000169,C005407,CAMP_2026_NYE,邮件,2026-07-05 09:00:00,marketing,clicked,45296
CONTACT_00000170,C004452,CAMP_2026_MOVIE9,邮件,2026-06-29 18:00:00,marketing,clicked,31360
CONTACT_00000171,C004685,CAMP_2026_AI_TOKEN,邮件,2026-06-22 23:00:00,marketing,sent,0
CONTACT_00000172,C002607,CAMP_2026_SPORTS,邮件,2026-07-09 12:00:00,marketing,opened,85521
CONTACT_00000173,C001247,CAMP_2026_618,邮件,2026-07-02 06:00:00,marketing,clicked,43575
CONTACT_00000174,C003607,CAMP_2026_REFERRAL,APP Push,2026-06-22 01:00:00,marketing,clicked,18954
CONTACT_00000175,C003359,CAMP_2026_REFERRAL,短信,2026-06-19 16:00:00,marketing,opened,44435
CONTACT_00000176,C005106,CAMP_2026_WEDDING5,邮件,2026-07-04 03:00:00,marketing,sent,0
CONTACT_00000177,C007040,CAMP_2026_SPORTS,电话外呼,2026-05-16 02:00:00,marketing,clicked,64016
CONTACT_00000178,C000561,CAMP_2026_REFERRAL,短信,2026-07-09 17:00:00,marketing,opened,11906
CONTACT_00000179,C003556,CAMP_2026_GREEN,APP Push,2026-07-05 21:00:00,marketing,clicked,58213
CONTACT_00000180,C001363,CAMP_2026_POINTS_BOOST,微信公众号,2026-07-03 23:00:00,marketing,clicked,38512
CONTACT_00000181,C001193,CAMP_2026_NYE,短信,2026-06-19 19:00:00,marketing,clicked,22340
CONTACT_00000182,C001435,CAMP_2026_SUMMER,APP Push,2026-07-07 03:00:00,marketing,opened,31626
CONTACT_00000183,C004077,CAMP_2026_SPORTS,电话外呼,2026-07-06 16:00:00,marketing,opened,60296
CONTACT_00000184,C002092,,APP Push,2026-07-14 15:00:00,service,clicked,71703
CONTACT_00000185,C001295,CAMP_2026_SPORTS,APP Push,2026-07-03 06:00:00,marketing,opened,39270
CONTACT_00000186,C005235,CAMP_2026_WEDDING5,邮件,2026-07-04 15:00:00,marketing,clicked,26171
CONTACT_00000187,C000874,CAMP_2026_REFERRAL,短信,2026-05-31 15:00:00,marketing,clicked,38756
CONTACT_00000188,C000180,CAMP_2026_FAMILY,邮件,2026-04-21 03:00:00,marketing,opened,6488
CONTACT_00000189,C007460,CAMP_2026_WEDDING5,电话外呼,2026-05-11 15:00:00,marketing,opened,30222
CONTACT_00000190,C004974,CAMP_2026_BACK_SCHOOL,微信公众号,2026-06-19 16:00:00,marketing,clicked,17987
CONTACT_00000191,C005295,CAMP_2026_UPGRADE,APP Push,2026-05-18 06:00:00,marketing,clicked,47883
CONTACT_00000192,C007452,CAMP_2026_BIRTHDAY,微信公众号,2026-06-20 18:00:00,marketing,clicked,17382
CONTACT_00000193,C007959,CAMP_2026_DOUBLE11,微信公众号,2026-06-26 19:00:00,marketing,opened,33741
CONTACT_00000194,C007488,,邮件,2026-06-12 14:00:00,service,clicked,15155
CONTACT_00000195,C003837,CAMP_2026_SPORTS,APP Push,2026-06-29 03:00:00,marketing,sent,0
CONTACT_00000196,C005933,,邮件,2026-07-11 13:00:00,service,sent,0
CONTACT_00000197,C000740,CAMP_2026_CAMPUS,邮件,2026-06-17 10:00:00,marketing,sent,0
CONTACT_00000198,C003020,CAMP_2026_REFERRAL,微信公众号,2026-07-01 13:00:00,marketing,sent,0
CONTACT_00000199,C000888,CAMP_2026_UPGRADE,短信,2026-06-17 07:00:00,marketing,sent,0
CONTACT_00000200,C002688,CAMP_2026_SUMMER,电话外呼,2026-07-07 10:00:00,marketing,clicked,39668
CONTACT_00000201,C000372,CAMP_2026_GREEN,APP Push,2026-07-05 21:00:00,marketing,opened,30835
CONTACT_00000202,C007269,CAMP_2026_SPRING_TRAVEL,电话外呼,2026-07-07 03:00:00,marketing,clicked,70864
CONTACT_00000203,C003434,CAMP_2026_SUMMER,电话外呼,2026-06-20 11:00:00,marketing,clicked,85901
CONTACT_00000204,C005044,CAMP_2026_REFERRAL,邮件,2026-06-21 02:00:00,marketing,clicked,48626
CONTACT_00000205,C007787,,短信,2026-07-14 03:00:00,service,unsubscribed,0
CONTACT_00000206,C003010,,电话外呼,2026-07-08 23:00:00,service,opened,52244
CONTACT_00000207,C002261,,短信,2026-06-16 10:00:00,service,sent,0
CONTACT_00000208,C000751,CAMP_2026_DOUBLE11,短信,2026-07-03 00:00:00,marketing,clicked,6689
CONTACT_00000209,C006446,CAMP_2026_NEWUSER,微信公众号,2026-07-04 06:00:00,marketing,clicked,26956
CONTACT_00000210,C004541,CAMP_2026_WEDDING5,短信,2026-07-11 17:00:00,marketing,opened,43124
CONTACT_00000211,C006344,CAMP_2026_WOMEN,短信,2026-07-14 16:00:00,marketing,clicked,19024
CONTACT_00000212,C001065,CAMP_2026_AI_TOKEN,电话外呼,2026-07-09 03:00:00,marketing,clicked,3439
CONTACT_00000213,C001080,CAMP_2026_MOVIE9,APP Push,2026-07-07 06:00:00,marketing,sent,0
CONTACT_00000214,C002653,CAMP_2026_UPGRADE,APP Push,2026-06-20 01:00:00,marketing,unsubscribed,0
CONTACT_00000215,C003449,CAMP_2026_AI_TOKEN,电话外呼,2026-07-15 10:00:00,marketing,unsubscribed,0
CONTACT_00000216,C006374,CAMP_2026_CLOUD_FLASH,微信公众号,2026-07-16 08:00:00,marketing,unsubscribed,0
CONTACT_00000217,C001815,CAMP_2026_SPRING_TRAVEL,电话外呼,2026-07-14 03:00:00,marketing,clicked,68407
CONTACT_00000218,C002471,CAMP_2026_CAMPUS,邮件,2026-07-03 09:00:00,marketing,clicked,52700
CONTACT_00000219,C004017,CAMP_2026_618,邮件,2026-05-07 05:00:00,marketing,clicked,19502
CONTACT_00000220,C005115,CAMP_2026_CAMPUS,电话外呼,2026-07-10 05:00:00,marketing,clicked,69601
CONTACT_00000221,C004960,CAMP_2026_NEWUSER,邮件,2026-07-05 04:00:00,marketing,sent,0
CONTACT_00000222,C005333,CAMP_2026_REFERRAL,电话外呼,2026-06-19 10:00:00,marketing,clicked,30009
CONTACT_00000223,C003716,CAMP_2026_DORMANT,邮件,2026-07-03 11:00:00,marketing,clicked,41023
CONTACT_00000224,C001251,CAMP_2026_SUMMER,邮件,2026-06-01 22:00:00,marketing,opened,56666
CONTACT_00000225,C000792,CAMP_2026_CAMPUS,微信公众号,2026-04-18 06:00:00,marketing,opened,73668
CONTACT_00000226,C004602,CAMP_2026_SPRINGFEST,微信公众号,2026-06-22 03:00:00,marketing,opened,55495
CONTACT_00000227,C007112,,APP Push,2026-07-06 13:00:00,service,opened,13639
CONTACT_00000228,C004735,CAMP_2026_CLOUD_FLASH,电话外呼,2026-05-25 17:00:00,marketing,sent,0
CONTACT_00000229,C006941,CAMP_2026_GREEN,APP Push,2026-06-20 21:00:00,marketing,clicked,36572
CONTACT_00000230,C004704,CAMP_2026_SUMMER,短信,2026-06-04 05:00:00,marketing,sent,0
CONTACT_00000231,C005027,CAMP_2026_NATIONAL,电话外呼,2026-05-22 02:00:00,marketing,sent,0
CONTACT_00000232,C002191,CAMP_2026_SPRINGFEST,APP Push,2026-07-13 15:00:00,marketing,opened,44601
CONTACT_00000233,C002876,CAMP_2026_NYE,APP Push,2026-04-23 03:00:00,marketing,clicked,52591
CONTACT_00000234,C005187,CAMP_2026_SPRINGFEST,APP Push,2026-06-18 12:00:00,marketing,clicked,55088
CONTACT_00000235,C003717,CAMP_2026_REFERRAL,微信公众号,2026-06-29 14:00:00,marketing,clicked,74455
CONTACT_00000236,C000431,CAMP_2026_FAMILY,短信,2026-06-23 03:00:00,marketing,clicked,10753
CONTACT_00000237,C002230,CAMP_2026_DORMANT,邮件,2026-07-04 10:00:00,marketing,clicked,54347
CONTACT_00000238,C002238,CAMP_2026_DOUBLE11,短信,2026-06-19 11:00:00,marketing,clicked,14594
CONTACT_00000239,C004859,CAMP_2026_DOUBLE11,邮件,2026-07-10 17:00:00,marketing,clicked,51867
CONTACT_00000240,C002470,CAMP_2026_AI_TOKEN,短信,2026-06-16 15:00:00,marketing,sent,0
CONTACT_00000241,C002688,CAMP_2026_FAMILY,APP Push,2026-07-09 19:00:00,marketing,opened,16992
CONTACT_00000242,C003115,CAMP_2026_SPORTS,电话外呼,2026-07-01 03:00:00,marketing,opened,46481
CONTACT_00000243,C000591,,邮件,2026-07-12 00:00:00,service,unsubscribed,0
CONTACT_00000244,C003767,,APP Push,2026-06-02 06:00:00,service,clicked,53068
CONTACT_00000245,C005813,CAMP_2026_GREEN,邮件,2026-05-09 14:00:00,marketing,opened,22587
CONTACT_00000246,C006565,CAMP_2026_618,电话外呼,2026-07-01 13:00:00,marketing,opened,11611
CONTACT_00000247,C003578,CAMP_2026_REFERRAL,APP Push,2026-07-12 08:00:00,marketing,clicked,10368
CONTACT_00000248,C003243,CAMP_2026_DOUBLE11,微信公众号,2026-07-04 19:00:00,marketing,clicked,10071
CONTACT_00000249,C004182,CAMP_2026_SPORTS,APP Push,2026-05-05 13:00:00,marketing,clicked,46079
