contact_id,cust_id,campaign_id,channel,contact_time,contact_type,status,response_time_sec,cost
CONTACT_00000019,C004444,CAMP_2026_SPRING_TRAVEL,手机银行APP内消息,2026-06-27 01:07:00,marketing,opened,73410,0.01
CONTACT_00000020,C004038,CAMP_2026_UPGRADE,APP Push,2026-05-02 01:04:00,marketing,opened,36310,0.02
CONTACT_00000021,C005794,CAMP_2026_NEWUSER,短信,2026-07-13 09:20:00,marketing,opened,3309,0.06
CONTACT_00000022,C006438,CAMP_2026_NYE,电话外呼,2026-06-23 15:56:00,marketing,bounced,0,2.5
CONTACT_00000023,C006593,CAMP_2026_APPLEPAY,APP Push,2026-07-01 14:06:00,marketing,clicked,4615,0.02
CONTACT_00000024,C004705,CAMP_2026_CAMPUS,APP Push,2026-06-18 06:58:00,marketing,delivered,0,0.02
CONTACT_00000025,C000380,,邮件,2026-07-11 19:13:00,transactional,clicked,50661,0.01
CONTACT_00000026,C007883,CAMP_2026_WOMEN,微信公众号,2026-04-16 00:46:00,marketing,opened,69996,0.03
CONTACT_00000027,C000718,CAMP_2026_WOMEN,短信,2026-07-14 01:27:00,marketing,opened,21555,0.06
CONTACT_00000028,C002021,CAMP_2026_GREEN,手机银行APP内消息,2026-05-09 19:40:00,marketing,opened,44992,0.01
CONTACT_00000029,C003544,CAMP_2026_DOUBLE11,电话外呼,2026-06-10 16:52:00,marketing,delivered,0,2.5
CONTACT_00000030,C004014,,邮件,2026-06-27 05:37:00,service,opened,54535,0.01
CONTACT_00000031,C002537,CAMP_2026_NEWUSER,微信公众号,2026-04-16 21:52:00,marketing,opened,38484,0.03
CONTACT_00000032,C004078,CAMP_2026_CAMPUS,邮件,2026-07-08 17:16:00,marketing,opened,49137,0.01
CONTACT_00000033,C004805,CAMP_2026_NYE,电话外呼,2026-05-27 13:31:00,marketing,unsubscribed,0,2.5
CONTACT_00000034,C000991,CAMP_2026_NEWUSER,微信公众号,2026-05-04 17:40:00,marketing,opened,9363,0.03
CONTACT_00000035,C002380,CAMP_2026_DOUBLE11,微信公众号,2026-05-28 03:07:00,marketing,opened,16800,0.03
CONTACT_00000036,C005410,CAMP_2026_AI_TOKEN,手机银行APP内消息,2026-06-30 22:57:00,marketing,delivered,0,0.01
CONTACT_00000037,C004608,CAMP_2026_REFERRAL,邮件,2026-07-14 12:56:00,marketing,delivered,0,0.01
CONTACT_00000038,C005838,CAMP_2026_WEDDING5,手机银行APP内消息,2026-06-24 01:47:00,marketing,delivered,0,0.01
CONTACT_00000039,C005553,CAMP_2026_NATIONAL,APP Push,2026-06-19 01:05:00,marketing,opened,46172,0.02
CONTACT_00000040,C006617,CAMP_2026_AI_TOKEN,微信公众号,2026-05-21 14:41:00,marketing,opened,26820,0.03
CONTACT_00000041,C001568,CAMP_2026_POINTS_BOOST,微信公众号,2026-06-05 11:13:00,marketing,bounced,0,0.03
CONTACT_00000042,C004908,CAMP_2026_AI_TOKEN,微信公众号,2026-07-08 12:47:00,marketing,delivered,0,0.03
CONTACT_00000043,C005777,CAMP_2026_UPGRADE,微信公众号,2026-05-29 18:19:00,marketing,opened,80710,0.03
CONTACT_00000044,C005393,CAMP_2026_NATIONAL,手机银行APP内消息,2026-05-20 01:38:00,marketing,clicked,61746,0.01
CONTACT_00000045,C000062,,邮件,2026-06-19 17:04:00,service,opened,49577,0.01
CONTACT_00000046,C003821,CAMP_2026_NATIONAL,手机银行APP内消息,2026-05-31 19:32:00,marketing,opened,86182,0.01
CONTACT_00000047,C001038,CAMP_2026_BACK_SCHOOL,电话外呼,2026-07-09 01:08:00,marketing,bounced,0,2.5
CONTACT_00000048,C005071,CAMP_2026_BIRTHDAY,短信,2026-06-23 15:44:00,marketing,clicked,4136,0.06
CONTACT_00000049,C000489,,短信,2026-07-11 20:10:00,transactional,opened,75490,0.06
CONTACT_00000050,C005382,CAMP_2026_MOVIE9,APP Push,2026-05-17 03:36:00,marketing,delivered,0,0.02
CONTACT_00000051,C004852,,APP Push,2026-07-13 14:04:00,transactional,opened,51096,0.02
CONTACT_00000052,C006310,CAMP_2026_NYE,手机银行APP内消息,2026-05-27 21:48:00,marketing,opened,63889,0.01
CONTACT_00000053,C000080,CAMP_2026_DORMANT,邮件,2026-06-28 11:27:00,marketing,clicked,61123,0.01
CONTACT_00000054,C005529,,微信公众号,2026-06-04 17:56:00,transactional,unsubscribed,0,0.03
CONTACT_00000055,C000659,CAMP_2026_CROSSBORDER,APP Push,2026-06-30 10:00:00,marketing,opened,33620,0.02
CONTACT_00000056,C001925,CAMP_2026_BIRTHDAY,邮件,2026-06-23 21:27:00,marketing,opened,52310,0.01
CONTACT_00000057,C005184,CAMP_2026_NEWUSER,邮件,2026-04-16 14:36:00,marketing,unsubscribed,0,0.01
CONTACT_00000058,C006283,CAMP_2026_APPLEPAY,邮件,2026-07-11 09:46:00,marketing,opened,17997,0.01
CONTACT_00000059,C004018,CAMP_2026_SPRING_TRAVEL,APP Push,2026-07-03 10:18:00,marketing,clicked,79852,0.02
CONTACT_00000060,C007457,CAMP_2026_DOUBLE11,APP Push,2026-06-27 08:44:00,marketing,opened,20675,0.02
CONTACT_00000061,C004875,CAMP_2026_SPRINGFEST,APP Push,2026-07-07 23:14:00,marketing,sent,0,0.02
CONTACT_00000062,C004739,CAMP_2026_CROSSBORDER,手机银行APP内消息,2026-07-14 02:13:00,marketing,clicked,85591,0.01
CONTACT_00000063,C002162,CAMP_2026_NATIONAL,微信公众号,2026-04-16 05:29:00,marketing,opened,47425,0.03
CONTACT_00000064,C001617,CAMP_2026_GREEN,APP Push,2026-05-08 02:45:00,marketing,opened,1650,0.02
CONTACT_00000065,C007416,CAMP_2026_BACK_SCHOOL,APP Push,2026-07-11 02:06:00,marketing,opened,41468,0.02
CONTACT_00000066,C000143,,APP Push,2026-07-04 02:22:00,service,opened,57838,0.02
CONTACT_00000067,C004890,CAMP_2026_MOVIE9,电话外呼,2026-07-03 14:19:00,marketing,opened,27739,2.5
CONTACT_00000068,C003956,CAMP_2026_CROSSBORDER,短信,2026-06-20 12:24:00,marketing,opened,77555,0.06
CONTACT_00000069,C007723,CAMP_2026_APPLEPAY,邮件,2026-06-17 16:05:00,marketing,opened,39688,0.01
CONTACT_00000070,C005874,CAMP_2026_WOMEN,短信,2026-05-22 19:09:00,marketing,clicked,73431,0.06
CONTACT_00000071,C006725,CAMP_2026_SPRINGFEST,电话外呼,2026-07-08 15:50:00,marketing,delivered,0,2.5
CONTACT_00000072,C003835,CAMP_2026_NEWUSER,APP Push,2026-04-16 09:01:00,marketing,opened,15734,0.02
CONTACT_00000073,C003684,,短信,2026-04-30 18:13:00,service,clicked,14352,0.06
CONTACT_00000074,C007572,CAMP_2026_MOVIE9,APP Push,2026-07-04 01:18:00,marketing,clicked,37630,0.02
CONTACT_00000075,C006774,CAMP_2026_WEDDING5,电话外呼,2026-06-19 20:55:00,marketing,delivered,0,2.5
CONTACT_00000076,C004937,CAMP_2026_GREEN,电话外呼,2026-05-19 12:58:00,marketing,unsubscribed,0,2.5
CONTACT_00000077,C007025,CAMP_2026_BIRTHDAY,邮件,2026-07-09 18:47:00,marketing,sent,0,0.01
CONTACT_00000078,C007987,CAMP_2026_BIRTHDAY,手机银行APP内消息,2026-06-25 06:09:00,marketing,bounced,0,0.01
CONTACT_00000079,C007370,CAMP_2026_DORMANT,手机银行APP内消息,2026-05-19 08:40:00,marketing,opened,68861,0.01
CONTACT_00000080,C005116,CAMP_2026_CROSSBORDER,短信,2026-07-07 18:20:00,marketing,clicked,83306,0.06
CONTACT_00000081,C000479,CAMP_2026_APPLEPAY,微信公众号,2026-06-24 17:27:00,marketing,bounced,0,0.03
CONTACT_00000082,C006575,CAMP_2026_MOVIE9,微信公众号,2026-06-26 12:15:00,marketing,opened,28146,0.03
CONTACT_00000083,C005820,CAMP_2026_SPORTS,APP Push,2026-07-09 05:33:00,marketing,clicked,65909,0.02
CONTACT_00000084,C000092,,邮件,2026-06-08 08:18:00,transactional,opened,58782,0.01
CONTACT_00000085,C006338,CAMP_2026_CROSSBORDER,微信公众号,2026-07-14 16:03:00,marketing,bounced,0,0.03
CONTACT_00000086,C004985,CAMP_2026_POINTS_BOOST,微信公众号,2026-06-25 10:43:00,marketing,delivered,0,0.03
CONTACT_00000087,C004365,CAMP_2026_BACK_SCHOOL,微信公众号,2026-06-01 20:55:00,marketing,delivered,0,0.03
CONTACT_00000088,C002387,CAMP_2026_WEDDING5,短信,2026-06-10 07:58:00,marketing,clicked,84541,0.06
CONTACT_00000089,C004059,CAMP_2026_SUMMER,短信,2026-06-09 06:14:00,marketing,opened,13525,0.06
CONTACT_00000090,C000894,CAMP_2026_DORMANT,微信公众号,2026-07-03 00:52:00,marketing,opened,70897,0.03
CONTACT_00000091,C006302,CAMP_2026_BACK_SCHOOL,电话外呼,2026-06-11 06:27:00,marketing,unsubscribed,0,2.5
CONTACT_00000092,C001977,CAMP_2026_618,APP Push,2026-07-02 19:00:00,marketing,opened,53861,0.02
CONTACT_00000093,C005423,CAMP_2026_GREEN,APP Push,2026-06-21 22:15:00,marketing,bounced,0,0.02
CONTACT_00000094,C002858,CAMP_2026_SPRINGFEST,APP Push,2026-04-16 06:01:00,marketing,opened,34816,0.02
CONTACT_00000095,C007228,CAMP_2026_WEDDING5,短信,2026-06-27 21:25:00,marketing,opened,33915,0.06
CONTACT_00000096,C005193,CAMP_2026_POINTS_BOOST,邮件,2026-05-28 13:31:00,marketing,opened,81434,0.01
CONTACT_00000097,C007186,CAMP_2026_MOVIE9,手机银行APP内消息,2026-06-29 02:48:00,marketing,unsubscribed,0,0.01
CONTACT_00000098,C007674,CAMP_2026_SPRINGFEST,邮件,2026-07-08 23:29:00,marketing,delivered,0,0.01
CONTACT_00000099,C006198,CAMP_2026_SPRING_TRAVEL,电话外呼,2026-06-12 12:47:00,marketing,unsubscribed,0,2.5
CONTACT_00000100,C005557,CAMP_2026_AI_TOKEN,微信公众号,2026-07-11 05:59:00,marketing,opened,76495,0.03
CONTACT_00000101,C003627,CAMP_2026_MOVIE9,手机银行APP内消息,2026-07-03 19:22:00,marketing,clicked,82284,0.01
CONTACT_00000102,C002288,CAMP_2026_REFERRAL,APP Push,2026-07-12 13:05:00,marketing,opened,15445,0.02
CONTACT_00000103,C000168,CAMP_2026_CAMPUS,短信,2026-05-11 06:39:00,marketing,delivered,0,0.06
CONTACT_00000104,C001135,CAMP_2026_SPORTS,邮件,2026-07-09 12:04:00,marketing,clicked,60563,0.01
CONTACT_00000105,C005147,,短信,2026-05-26 21:54:00,transactional,clicked,62448,0.06
CONTACT_00000106,C001628,CAMP_2026_AI_TOKEN,手机银行APP内消息,2026-07-09 12:58:00,marketing,opened,45011,0.01
CONTACT_00000107,C007097,CAMP_2026_DORMANT,微信公众号,2026-07-09 03:05:00,marketing,bounced,0,0.03
CONTACT_00000108,C000954,CAMP_2026_APPLEPAY,短信,2026-06-23 02:52:00,marketing,opened,20246,0.06
CONTACT_00000109,C001392,CAMP_2026_WEDDING5,电话外呼,2026-07-04 03:57:00,marketing,unsubscribed,0,2.5
CONTACT_00000110,C007342,CAMP_2026_618,电话外呼,2026-07-05 13:58:00,marketing,clicked,24864,2.5
CONTACT_00000111,C002384,CAMP_2026_618,手机银行APP内消息,2026-06-25 22:26:00,marketing,clicked,79026,0.01
CONTACT_00000112,C007684,CAMP_2026_CLOUD_FLASH,邮件,2026-07-05 17:41:00,marketing,unsubscribed,0,0.01
CONTACT_00000113,C004387,CAMP_2026_NATIONAL,电话外呼,2026-06-22 11:23:00,marketing,opened,82716,2.5
CONTACT_00000114,C002785,,微信公众号,2026-06-17 15:03:00,service,bounced,0,0.03
CONTACT_00000115,C007054,CAMP_2026_UPGRADE,短信,2026-06-23 22:57:00,marketing,opened,13991,0.06
CONTACT_00000116,C005469,CAMP_2026_BACK_SCHOOL,APP Push,2026-06-23 11:36:00,marketing,opened,13130,0.02
CONTACT_00000117,C003972,CAMP_2026_CROSSBORDER,微信公众号,2026-07-12 20:14:00,marketing,clicked,68370,0.03
CONTACT_00000118,C001169,CAMP_2026_SPRINGFEST,APP Push,2026-06-02 08:08:00,marketing,bounced,0,0.02
CONTACT_00000119,C007824,CAMP_2026_REFERRAL,邮件,2026-07-12 10:09:00,marketing,delivered,0,0.01
CONTACT_00000120,C000706,CAMP_2026_CROSSBORDER,微信公众号,2026-04-16 08:07:00,marketing,unsubscribed,0,0.03
CONTACT_00000121,C006411,CAMP_2026_NYE,电话外呼,2026-07-01 08:05:00,marketing,delivered,0,2.5
CONTACT_00000122,C005161,,手机银行APP内消息,2026-07-06 15:06:00,service,opened,58619,0.01
CONTACT_00000123,C000799,CAMP_2026_SPRINGFEST,短信,2026-06-29 18:22:00,marketing,delivered,0,0.06
CONTACT_00000124,C002886,CAMP_2026_WEDDING5,微信公众号,2026-07-09 07:41:00,marketing,unsubscribed,0,0.03
CONTACT_00000125,C003472,CAMP_2026_618,电话外呼,2026-07-13 04:57:00,marketing,opened,3139,2.5
CONTACT_00000126,C007256,CAMP_2026_GREEN,短信,2026-06-07 20:28:00,marketing,bounced,0,0.06
CONTACT_00000127,C002948,CAMP_2026_WOMEN,微信公众号,2026-07-05 18:06:00,marketing,bounced,0,0.03
CONTACT_00000128,C003393,,邮件,2026-05-27 18:19:00,transactional,unsubscribed,0,0.01
CONTACT_00000129,C000839,CAMP_2026_BACK_SCHOOL,短信,2026-06-09 21:29:00,marketing,unsubscribed,0,0.06
CONTACT_00000130,C003552,CAMP_2026_APPLEPAY,微信公众号,2026-07-14 07:22:00,marketing,unsubscribed,0,0.03
CONTACT_00000131,C004753,CAMP_2026_SUMMER,微信公众号,2026-07-07 01:01:00,marketing,clicked,22970,0.03
CONTACT_00000132,C005508,CAMP_2026_AI_TOKEN,邮件,2026-06-27 00:06:00,marketing,clicked,77948,0.01
CONTACT_00000133,C001477,CAMP_2026_REFERRAL,电话外呼,2026-05-27 10:42:00,marketing,opened,29586,2.5
CONTACT_00000134,C004202,CAMP_2026_SPRING_TRAVEL,APP Push,2026-07-05 19:58:00,marketing,opened,67840,0.02
CONTACT_00000135,C003658,CAMP_2026_AI_TOKEN,微信公众号,2026-07-14 07:12:00,marketing,clicked,59808,0.03
CONTACT_00000136,C001182,CAMP_2026_DORMANT,微信公众号,2026-07-09 16:06:00,marketing,clicked,21400,0.03
CONTACT_00000137,C005642,CAMP_2026_APPLEPAY,微信公众号,2026-06-27 21:35:00,marketing,opened,10910,0.03
CONTACT_00000138,C004558,,邮件,2026-06-07 08:09:00,transactional,opened,62934,0.01
CONTACT_00000139,C007120,CAMP_2026_SPRING_TRAVEL,微信公众号,2026-06-22 15:10:00,marketing,opened,10171,0.03
CONTACT_00000140,C007463,CAMP_2026_BACK_SCHOOL,电话外呼,2026-06-06 18:59:00,marketing,opened,79735,2.5
CONTACT_00000141,C001964,CAMP_2026_SPRINGFEST,电话外呼,2026-07-11 04:55:00,marketing,opened,19781,2.5
CONTACT_00000142,C005275,CAMP_2026_APPLEPAY,邮件,2026-06-09 15:12:00,marketing,opened,18935,0.01
CONTACT_00000143,C003592,CAMP_2026_NEWUSER,电话外呼,2026-05-27 21:09:00,marketing,delivered,0,2.5
CONTACT_00000144,C007520,CAMP_2026_CAMPUS,手机银行APP内消息,2026-06-06 12:44:00,marketing,clicked,39547,0.01
CONTACT_00000145,C003050,CAMP_2026_NEWUSER,短信,2026-07-09 10:13:00,marketing,clicked,765,0.06
CONTACT_00000146,C003250,CAMP_2026_GREEN,短信,2026-06-19 22:14:00,marketing,opened,54393,0.06
CONTACT_00000147,C003404,CAMP_2026_618,短信,2026-07-09 19:06:00,marketing,opened,58233,0.06
CONTACT_00000148,C002905,CAMP_2026_WOMEN,手机银行APP内消息,2026-06-25 21:59:00,marketing,clicked,2791,0.01
CONTACT_00000149,C000470,CAMP_2026_SPRING_TRAVEL,邮件,2026-06-28 16:30:00,marketing,clicked,54536,0.01
CONTACT_00000150,C002343,CAMP_2026_REFERRAL,邮件,2026-06-28 20:38:00,marketing,opened,4377,0.01
CONTACT_00000151,C000608,CAMP_2026_CROSSBORDER,邮件,2026-07-08 10:30:00,marketing,clicked,41132,0.01
CONTACT_00000152,C004664,CAMP_2026_POINTS_BOOST,邮件,2026-06-03 15:54:00,marketing,clicked,30858,0.01
CONTACT_00000153,C004868,CAMP_2026_618,电话外呼,2026-07-09 19:17:00,marketing,clicked,65493,2.5
CONTACT_00000154,C007377,CAMP_2026_UPGRADE,短信,2026-06-15 14:53:00,marketing,opened,17038,0.06
CONTACT_00000155,C006746,CAMP_2026_POINTS_BOOST,APP Push,2026-06-25 01:32:00,marketing,opened,72070,0.02
CONTACT_00000156,C002971,CAMP_2026_DOUBLE11,电话外呼,2026-07-05 16:01:00,marketing,opened,62466,2.5
CONTACT_00000157,C003467,CAMP_2026_CROSSBORDER,APP Push,2026-07-06 08:42:00,marketing,unsubscribed,0,0.02
CONTACT_00000158,C001169,CAMP_2026_FAMILY,手机银行APP内消息,2026-07-14 12:55:00,marketing,opened,11985,0.01
CONTACT_00000159,C001322,CAMP_2026_SPRING_TRAVEL,微信公众号,2026-07-14 16:51:00,marketing,clicked,36942,0.03
CONTACT_00000160,C007574,,手机银行APP内消息,2026-06-15 17:56:00,transactional,clicked,59250,0.01
CONTACT_00000161,C006816,CAMP_2026_CLOUD_FLASH,邮件,2026-06-01 01:42:00,marketing,opened,70617,0.01
CONTACT_00000162,C002352,,微信公众号,2026-07-14 01:13:00,service,delivered,0,0.03
CONTACT_00000163,C005873,CAMP_2026_WOMEN,邮件,2026-06-28 04:32:00,marketing,bounced,0,0.01
CONTACT_00000164,C003882,CAMP_2026_GREEN,微信公众号,2026-07-03 18:23:00,marketing,opened,41897,0.03
CONTACT_00000165,C000496,,短信,2026-04-16 00:41:00,service,unsubscribed,0,0.06
CONTACT_00000166,C000008,CAMP_2026_DOUBLE11,短信,2026-06-30 12:01:00,marketing,sent,0,0.06
CONTACT_00000167,C000004,CAMP_2026_NATIONAL,短信,2026-07-07 14:05:00,marketing,delivered,0,0.06
CONTACT_00000168,C002666,CAMP_2026_CLOUD_FLASH,邮件,2026-07-04 20:31:00,marketing,opened,14846,0.01
CONTACT_00000169,C001906,CAMP_2026_REFERRAL,手机银行APP内消息,2026-07-04 03:09:00,marketing,unsubscribed,0,0.01
CONTACT_00000170,C006674,CAMP_2026_GREEN,电话外呼,2026-06-03 21:05:00,marketing,opened,79850,2.5
CONTACT_00000171,C001823,CAMP_2026_AI_TOKEN,电话外呼,2026-07-08 19:25:00,marketing,opened,4066,2.5
CONTACT_00000172,C004562,CAMP_2026_WEDDING5,短信,2026-07-12 17:37:00,marketing,opened,67372,0.06
CONTACT_00000173,C001697,CAMP_2026_NATIONAL,电话外呼,2026-07-14 00:53:00,marketing,opened,36486,2.5
CONTACT_00000174,C002353,CAMP_2026_CAMPUS,短信,2026-06-03 02:51:00,marketing,delivered,0,0.06
CONTACT_00000175,C000224,,微信公众号,2026-06-24 15:42:00,service,clicked,32461,0.03
CONTACT_00000176,C003106,CAMP_2026_GREEN,手机银行APP内消息,2026-06-24 17:57:00,marketing,clicked,84760,0.01
CONTACT_00000177,C001380,CAMP_2026_NYE,邮件,2026-06-07 08:57:00,marketing,opened,3320,0.01
CONTACT_00000178,C000434,CAMP_2026_CROSSBORDER,APP Push,2026-05-31 10:40:00,marketing,delivered,0,0.02
CONTACT_00000179,C001392,CAMP_2026_FAMILY,邮件,2026-06-15 20:36:00,marketing,opened,82226,0.01
CONTACT_00000180,C005505,,电话外呼,2026-07-14 15:47:00,transactional,opened,86005,2.5
CONTACT_00000181,C006655,CAMP_2026_CROSSBORDER,微信公众号,2026-06-15 15:29:00,marketing,unsubscribed,0,0.03
CONTACT_00000182,C003287,CAMP_2026_NATIONAL,邮件,2026-07-14 23:29:00,marketing,clicked,82496,0.01
CONTACT_00000183,C002697,CAMP_2026_CROSSBORDER,电话外呼,2026-05-11 20:44:00,marketing,opened,58385,2.5
CONTACT_00000184,C003880,CAMP_2026_AI_TOKEN,短信,2026-07-01 04:08:00,marketing,delivered,0,0.06
CONTACT_00000185,C007299,CAMP_2026_AI_TOKEN,短信,2026-06-12 17:16:00,marketing,clicked,22403,0.06
CONTACT_00000186,C006310,CAMP_2026_GREEN,短信,2026-07-07 05:26:00,marketing,opened,36580,0.06
CONTACT_00000187,C004567,CAMP_2026_CAMPUS,APP Push,2026-05-17 21:33:00,marketing,bounced,0,0.02
CONTACT_00000188,C002682,CAMP_2026_618,APP Push,2026-06-16 21:59:00,marketing,clicked,43438,0.02
CONTACT_00000189,C002242,CAMP_2026_FAMILY,邮件,2026-07-05 17:15:00,marketing,opened,76734,0.01
CONTACT_00000190,C004499,CAMP_2026_DOUBLE11,短信,2026-07-13 08:27:00,marketing,bounced,0,0.06
CONTACT_00000191,C006191,CAMP_2026_AI_TOKEN,邮件,2026-07-13 15:15:00,marketing,bounced,0,0.01
CONTACT_00000192,C000227,CAMP_2026_CAMPUS,微信公众号,2026-07-13 23:54:00,marketing,opened,41086,0.03
CONTACT_00000193,C000121,CAMP_2026_WOMEN,电话外呼,2026-07-14 04:22:00,marketing,clicked,46109,2.5
CONTACT_00000194,C001489,,APP Push,2026-06-24 13:54:00,service,opened,44084,0.02
CONTACT_00000195,C006627,CAMP_2026_CAMPUS,APP Push,2026-05-04 15:36:00,marketing,clicked,34766,0.02
CONTACT_00000196,C004719,CAMP_2026_WOMEN,短信,2026-06-30 13:23:00,marketing,unsubscribed,0,0.06
CONTACT_00000197,C002490,CAMP_2026_SPORTS,手机银行APP内消息,2026-07-07 00:26:00,marketing,opened,10807,0.01
CONTACT_00000198,C006440,CAMP_2026_DORMANT,邮件,2026-05-25 15:38:00,marketing,clicked,70586,0.01
CONTACT_00000199,C000267,CAMP_2026_SUMMER,微信公众号,2026-06-26 21:50:00,marketing,clicked,54401,0.03
CONTACT_00000200,C007764,CAMP_2026_NATIONAL,微信公众号,2026-06-27 12:05:00,marketing,bounced,0,0.03
CONTACT_00000201,C001258,CAMP_2026_SPRING_TRAVEL,电话外呼,2026-06-18 22:33:00,marketing,clicked,45454,2.5
CONTACT_00000202,C004823,CAMP_2026_DORMANT,APP Push,2026-06-03 22:46:00,marketing,clicked,13828,0.02
CONTACT_00000203,C003009,,微信公众号,2026-07-05 03:52:00,transactional,opened,27631,0.03
CONTACT_00000204,C003359,CAMP_2026_BIRTHDAY,APP Push,2026-06-28 00:23:00,marketing,clicked,10515,0.02
CONTACT_00000205,C007575,CAMP_2026_CROSSBORDER,手机银行APP内消息,2026-07-04 15:06:00,marketing,opened,60088,0.01
CONTACT_00000206,C002579,CAMP_2026_WEDDING5,微信公众号,2026-06-21 10:06:00,marketing,opened,1928,0.03
CONTACT_00000207,C003241,CAMP_2026_APPLEPAY,手机银行APP内消息,2026-07-11 16:48:00,marketing,clicked,35216,0.01
CONTACT_00000208,C003458,CAMP_2026_SPORTS,短信,2026-07-05 05:41:00,marketing,opened,653,0.06
CONTACT_00000209,C002164,CAMP_2026_SUMMER,手机银行APP内消息,2026-06-06 09:09:00,marketing,opened,19795,0.01
CONTACT_00000210,C001824,CAMP_2026_CAMPUS,邮件,2026-06-29 19:52:00,marketing,opened,42328,0.01
CONTACT_00000211,C000210,CAMP_2026_SPORTS,微信公众号,2026-07-06 22:57:00,marketing,clicked,33607,0.03
CONTACT_00000212,C004591,CAMP_2026_CROSSBORDER,电话外呼,2026-05-25 08:45:00,marketing,opened,6500,2.5
CONTACT_00000213,C005310,CAMP_2026_CLOUD_FLASH,手机银行APP内消息,2026-07-13 20:02:00,marketing,opened,49290,0.01
CONTACT_00000214,C004602,CAMP_2026_DOUBLE11,APP Push,2026-06-05 23:03:00,marketing,unsubscribed,0,0.02
CONTACT_00000215,C002650,CAMP_2026_CROSSBORDER,电话外呼,2026-05-24 22:25:00,marketing,delivered,0,2.5
CONTACT_00000216,C005393,CAMP_2026_CROSSBORDER,邮件,2026-05-07 17:02:00,marketing,delivered,0,0.01
CONTACT_00000217,C006583,CAMP_2026_WOMEN,微信公众号,2026-07-05 13:27:00,marketing,unsubscribed,0,0.03
CONTACT_00000218,C007907,,APP Push,2026-06-25 18:19:00,transactional,opened,26357,0.02
CONTACT_00000219,C000578,CAMP_2026_SPORTS,微信公众号,2026-05-18 18:47:00,marketing,clicked,15669,0.03
CONTACT_00000220,C000408,CAMP_2026_REFERRAL,APP Push,2026-07-02 22:41:00,marketing,opened,49016,0.02
CONTACT_00000221,C001790,CAMP_2026_NATIONAL,邮件,2026-06-08 10:09:00,marketing,opened,80008,0.01
CONTACT_00000222,C000650,,短信,2026-07-14 09:13:00,transactional,bounced,0,0.06
CONTACT_00000223,C003424,CAMP_2026_FAMILY,微信公众号,2026-07-12 18:28:00,marketing,opened,10300,0.03
CONTACT_00000224,C005064,CAMP_2026_GREEN,微信公众号,2026-07-13 15:29:00,marketing,delivered,0,0.03
CONTACT_00000225,C000778,CAMP_2026_POINTS_BOOST,电话外呼,2026-07-08 21:03:00,marketing,clicked,14694,2.5
CONTACT_00000226,C007400,,手机银行APP内消息,2026-07-13 11:59:00,service,clicked,43740,0.01
CONTACT_00000227,C006738,CAMP_2026_GREEN,短信,2026-06-20 19:55:00,marketing,clicked,58978,0.06
CONTACT_00000228,C004531,CAMP_2026_WOMEN,邮件,2026-05-20 08:44:00,marketing,opened,85816,0.01
